Bateria_descarregar,Bateria_carregar,potencia_REDE,SoC,PV_ref,custo_energia,Q_rede,Q_bat_PU,P_bat_PU,V_PCC
0.0,17.12671,126.32671,0.79154023,48.673290100097645,0.47,-58.927275,0.5437091,-0.06850684,1.0
18.50503,0.0,128.69497,0.79643368,47.80502975463868,0.47,-58.927275,0.5417091,0.074020119,1.0
0.0,0.86148026,128.06148,0.79069664,49.93851974487307,0.47,-58.927275,0.5397091,-0.003445921,1.0
25.642325,0.0,132.55767,0.79094278,46.942325134277354,0.47,-58.927275,0.5377091,0.1025693,1.0
0.0,18.895238,131.89524,0.78299299,49.1047617340088,0.47,-58.927275,0.5357091,-0.075580953,1.0
0.0,26.411522,125.01152,0.78839174,57.488478088378926,0.47,-58.927275,0.5337091,-0.10564609,1.0
0.0,14.216586,116.91659,0.79593804,62.78442573547367,0.47,-58.927275,0.5317091,-0.056866342,1.0
0.0,0.0,99.9,0.8,70.56938156127931,0.47,-58.927275,0.5350451,0.0,1.0
0.0,0.0,94.8,0.8,73.6459539794922,0.47,-58.927275,0.5383731,0.0,1.0
0.0,0.0,94.2,0.8,74.38417404174805,0.47,-58.927275,0.5417091,0.0,1.0
28.086749,0.0,112.41325,0.8,68.18674865722657,0.47,-58.927275,0.5450451,0.11234699,1.0
0.0,10.285905,112.5859,0.79129238,67.2140951538086,0.47,-58.927275,0.5483731,-0.041143619,1.0
0.0,18.295789,111.19579,0.79423127,67.8042106628418,0.47,-58.927275,0.5517091,-0.073183157,1.0
0.0,1.8943787,87.094379,0.79945874,71.90516128540041,0.47,-58.927275,0.5503771,-0.0075775146,1.0
0.0,0.0,92.5,0.8,77.90913146972656,0.47,-58.927275,0.5490411,0.0,1.0
0.0,0.0,100.1,0.8,79.01399429321289,0.47,-58.927275,0.5477091,0.0,1.0
0.0,0.0,103.1,0.8,78.8768083190918,0.47,-58.927275,0.5463771,0.0,1.0
0.0,0.0,79.9,0.8,81.0555815124512,0.47,-58.927275,0.5450411,0.0,1.0
0.0,0.0,102.0,0.8,80.78788284301756,0.47,-58.927275,0.5437091,0.0,1.0
0.0,0.0,95.3,0.8,82.45786437988279,0.47,-58.927275,0.5457091,0.0,1.0
32.788454,0.0,115.91155,0.8,77.6884536743164,0.47,-58.927275,0.5477091,0.13115381,1.0
0.0,16.964372,121.06437,0.78983473,76.9356282043457,0.47,-58.927275,0.5497091,-0.067857487,1.0
0.0,7.3082928,125.20829,0.79468179,77.0917071533203,0.47,-58.927275,0.5517091,-0.029233171,1.0
0.0,6.3080708,130.90807,0.79676991,75.69192916870117,0.47,-58.927275,0.5537091,-0.025232283,1.0
0.0,1.2739008,132.1739,0.79857225,78.82609924316407,0.47,-58.927275,0.5557091,-0.005095603,1.0
0.0,1.2829279,134.18293,0.79893623,76.6170721435547,0.47,-58.927275,0.5530411,-0.0051317114,1.0
0.0,0.78122528,135.68123,0.79930279,74.9187747192383,0.47,-58.927275,0.5503771,-0.0031249011,1.0
0.0,0.16893402,137.46893,0.799526,73.03106597900394,0.47,-58.927275,0.5477091,-0.00067573608,1.0
0.62712799,0.0,139.37287,0.79957427,70.92712799072268,0.47,-58.927275,0.5450411,0.002508512,1.0
1.3721209,0.0,141.52788,0.79937984,68.57212089538574,0.47,-58.927275,0.5423771,0.0054884836,1.0
1.712222,0.0,144.18778,0.79895445,65.81222198486327,0.47,-58.927275,0.5397091,0.0068488879,1.0
2.3196378,0.0,147.78036,0.79842362,62.51963775634765,0.47,-58.927275,0.5443771,0.009278551,1.0
0.99623528,0.0,151.60376,0.79770447,58.996235275268546,0.47,-58.927275,0.5490411,0.0039849411,1.0
0.98005661,0.0,155.91994,0.79739561,55.080056610107405,0.47,-58.927275,0.5537091,0.0039202264,1.0
0.55496223,0.0,160.24504,0.79709177,51.05496223449706,0.47,-58.927275,0.5583771,0.0022198489,1.0
0.45342018,0.0,164.54658,0.79691971,47.0534201812744,0.47,-58.927275,0.5630411,0.0018136807,1.0
0.57033844,0.0,168.62966,0.79677914,43.37033843994143,0.47,-58.927275,0.5677091,0.0022813538,1.0
1.6315396,0.0,174.96846,0.79660232,40.13153957366943,0.47,-58.927275,0.5677091,0.0065261583,1.0
19.936812,0.0,184.26319,0.7960965,34.03681201934815,0.47,-58.927275,0.5677091,0.079747248,1.0
3.2172709,0.0,191.78273,0.78991557,29.717270889282233,0.47,-58.927275,0.5677091,0.012869084,1.0
17.129781,0.0,201.87022,0.78891813,22.729781074523927,0.47,-58.927275,0.5677091,0.068519124,1.0
11.08963,0.0,212.41037,0.78360746,15.389629745483402,0.65,-58.927275,0.5677091,0.044358519,1.0
6.3484096,0.0,220.85159,0.78016938,10.148409624099733,0.65,-58.927275,0.5677091,0.025393638,1.0
0.0,6.3406898,222.24069,0.77820121,5.759310166835789,0.65,-58.927275,0.5663731,-0.025362759,1.0
0.0,0.11702391,221.61702,0.78001287,3.3829760861396787,0.65,-58.927275,0.5650451,-0.00046809566,1.0
