#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-11-03 00:00:00,1359+575j,1359+575j,1359+575j
2017-11-03 00:10:00,1329+568.34j,1329+568.34j,1329+568.34j
2017-11-03 00:20:00,1299+561.67j,1299+561.67j,1299+561.67j
2017-11-03 00:30:00,1269.5+555j,1269.5+555j,1269.5+555j
2017-11-03 00:40:00,1239.5+548.34j,1239.5+548.34j,1239.5+548.34j
2017-11-03 00:50:00,1209.5+541.67j,1209.5+541.67j,1209.5+541.67j
2017-11-03 01:00:00,1180+535j,1180+535j,1180+535j
2017-11-03 01:10:00,1164+534.17j,1164+534.17j,1164+534.17j
2017-11-03 01:20:00,1148+533.34j,1148+533.34j,1148+533.34j
2017-11-03 01:30:00,1132.5+532.5j,1132.5+532.5j,1132.5+532.5j
2017-11-03 01:40:00,1116.5+531.67j,1116.5+531.67j,1116.5+531.67j
2017-11-03 01:50:00,1100.5+530.84j,1100.5+530.84j,1100.5+530.84j
2017-11-03 02:00:00,1085+530j,1085+530j,1085+530j
2017-11-03 02:10:00,1079+532.5j,1079+532.5j,1079+532.5j
2017-11-03 02:20:00,1073+535j,1073+535j,1073+535j
2017-11-03 02:30:00,1067.5+537.5j,1067.5+537.5j,1067.5+537.5j
2017-11-03 02:40:00,1061.5+540j,1061.5+540j,1061.5+540j
2017-11-03 02:50:00,1055.5+542.5j,1055.5+542.5j,1055.5+542.5j
2017-11-03 03:00:00,1050+545j,1050+545j,1050+545j
2017-11-03 03:10:00,1054.5+546.67j,1054.5+546.67j,1054.5+546.67j
2017-11-03 03:20:00,1060+548.34j,1060+548.34j,1060+548.34j
2017-11-03 03:30:00,1065+550j,1065+550j,1065+550j
2017-11-03 03:40:00,1069.5+551.67j,1069.5+551.67j,1069.5+551.67j
2017-11-03 03:50:00,1075+553.34j,1075+553.34j,1075+553.34j
2017-11-03 04:00:00,1080+555j,1080+555j,1080+555j
2017-11-03 04:10:00,1078+553.34j,1078+553.34j,1078+553.34j
2017-11-03 04:20:00,1076.5+551.67j,1076.5+551.67j,1076.5+551.67j
2017-11-03 04:30:00,1075+550j,1075+550j,1075+550j
2017-11-03 04:40:00,1073+548.34j,1073+548.34j,1073+548.34j
2017-11-03 04:50:00,1071.5+546.67j,1071.5+546.67j,1071.5+546.67j
2017-11-03 05:00:00,1070+545j,1070+545j,1070+545j
2017-11-03 05:10:00,1080+541.67j,1080+541.67j,1080+541.67j
2017-11-03 05:20:00,1090+538.34j,1090+538.34j,1090+538.34j
2017-11-03 05:30:00,1100+535j,1100+535j,1100+535j
2017-11-03 05:40:00,1110+531.67j,1110+531.67j,1110+531.67j
2017-11-03 05:50:00,1120+528.34j,1120+528.34j,1120+528.34j
2017-11-03 06:00:00,1130+525j,1130+525j,1130+525j
2017-11-03 06:10:00,1126.5+522.5j,1126.5+522.5j,1126.5+522.5j
2017-11-03 06:20:00,1123+520j,1123+520j,1123+520j
2017-11-03 06:30:00,1120+517.5j,1120+517.5j,1120+517.5j
2017-11-03 06:40:00,1116.5+515j,1116.5+515j,1116.5+515j
2017-11-03 06:50:00,1113+512.5j,1113+512.5j,1113+512.5j
2017-11-03 07:00:00,1110+510j,1110+510j,1110+510j
2017-11-03 07:10:00,1071.5+510j,1071.5+510j,1071.5+510j
2017-11-03 07:20:00,1033+510j,1033+510j,1033+510j
2017-11-03 07:30:00,995+510j,995+510j,995+510j
2017-11-03 07:40:00,956.5+510j,956.5+510j,956.5+510j
2017-11-03 07:50:00,918+510j,918+510j,918+510j
2017-11-03 08:00:00,880+510j,880+510j,880+510j
2017-11-03 08:10:00,903+500j,903+500j,903+500j
2017-11-03 08:20:00,926.5+490j,926.5+490j,926.5+490j
2017-11-03 08:30:00,950+480j,950+480j,950+480j
2017-11-03 08:40:00,973+470j,973+470j,973+470j
2017-11-03 08:50:00,996.5+460j,996.5+460j,996.5+460j
2017-11-03 09:00:00,1020+450j,1020+450j,1020+450j
2017-11-03 09:10:00,995.5+439.17j,995.5+439.17j,995.5+439.17j
2017-11-03 09:20:00,971.5+428.33j,971.5+428.33j,971.5+428.33j
2017-11-03 09:30:00,947.5+417.5j,947.5+417.5j,947.5+417.5j
2017-11-03 09:40:00,923+406.67j,923+406.67j,923+406.67j
2017-11-03 09:50:00,899+395.83j,899+395.83j,899+395.83j
2017-11-03 10:00:00,875+385j,875+385j,875+385j
2017-11-03 10:10:00,882.5+382.5j,882.5+382.5j,882.5+382.5j
2017-11-03 10:20:00,890+380j,890+380j,890+380j
2017-11-03 10:30:00,897.5+377.5j,897.5+377.5j,897.5+377.5j
2017-11-03 10:40:00,905+375j,905+375j,905+375j
2017-11-03 10:50:00,912.5+372.5j,912.5+372.5j,912.5+372.5j
2017-11-03 11:00:00,920+370j,920+370j,920+370j
2017-11-03 11:10:00,915.5+374.17j,915.5+374.17j,915.5+374.17j
2017-11-03 11:20:00,911.5+378.33j,911.5+378.33j,911.5+378.33j
2017-11-03 11:30:00,907.5+382.5j,907.5+382.5j,907.5+382.5j
2017-11-03 11:40:00,903+386.67j,903+386.67j,903+386.67j
2017-11-03 11:50:00,899+390.83j,899+390.83j,899+390.83j
2017-11-03 12:00:00,895+395j,895+395j,895+395j
2017-11-03 12:10:00,900+393.34j,900+393.34j,900+393.34j
2017-11-03 12:20:00,905+391.67j,905+391.67j,905+391.67j
2017-11-03 12:30:00,910+390j,910+390j,910+390j
2017-11-03 12:40:00,915+388.34j,915+388.34j,915+388.34j
2017-11-03 12:50:00,920+386.67j,920+386.67j,920+386.67j
2017-11-03 13:00:00,925+385j,925+385j,925+385j
2017-11-03 13:10:00,946.5+387.5j,946.5+387.5j,946.5+387.5j
2017-11-03 13:20:00,968+390j,968+390j,968+390j
2017-11-03 13:30:00,990+392.5j,990+392.5j,990+392.5j
2017-11-03 13:40:00,1011.5+395j,1011.5+395j,1011.5+395j
2017-11-03 13:50:00,1033+397.5j,1033+397.5j,1033+397.5j
2017-11-03 14:00:00,1055+400j,1055+400j,1055+400j
2017-11-03 14:10:00,1054+396.67j,1054+396.67j,1054+396.67j
2017-11-03 14:20:00,1053+393.34j,1053+393.34j,1053+393.34j
2017-11-03 14:30:00,1052.5+390j,1052.5+390j,1052.5+390j
2017-11-03 14:40:00,1051.5+386.67j,1051.5+386.67j,1051.5+386.67j
2017-11-03 14:50:00,1050.5+383.34j,1050.5+383.34j,1050.5+383.34j
2017-11-03 15:00:00,1050+380j,1050+380j,1050+380j
2017-11-03 15:10:00,1051.5+385.84j,1051.5+385.84j,1051.5+385.84j
2017-11-03 15:20:00,1053+391.67j,1053+391.67j,1053+391.67j
2017-11-03 15:30:00,1055+397.5j,1055+397.5j,1055+397.5j
2017-11-03 15:40:00,1056.5+403.34j,1056.5+403.34j,1056.5+403.34j
2017-11-03 15:50:00,1058+409.17j,1058+409.17j,1058+409.17j
2017-11-03 16:00:00,1060+415j,1060+415j,1060+415j
2017-11-03 16:10:00,1075.5+415j,1075.5+415j,1075.5+415j
2017-11-03 16:20:00,1091.5+415j,1091.5+415j,1091.5+415j
2017-11-03 16:30:00,1107.5+415j,1107.5+415j,1107.5+415j
2017-11-03 16:40:00,1123+415j,1123+415j,1123+415j
2017-11-03 16:50:00,1139+415j,1139+415j,1139+415j
2017-11-03 17:00:00,1155+415j,1155+415j,1155+415j
