#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-11-03 00:00:00,2826.72+1196j,2826.72+1196j,2826.72+1196j
2017-11-03 00:10:00,2764.32+1182.14j,2764.32+1182.14j,2764.32+1182.14j
2017-11-03 00:20:00,2701.92+1168.26j,2701.92+1168.26j,2701.92+1168.26j
2017-11-03 00:30:00,2640.56+1154.4j,2640.56+1154.4j,2640.56+1154.4j
2017-11-03 00:40:00,2578.16+1140.54j,2578.16+1140.54j,2578.16+1140.54j
2017-11-03 00:50:00,2515.76+1126.66j,2515.76+1126.66j,2515.76+1126.66j
2017-11-03 01:00:00,2454.4+1112.8j,2454.4+1112.8j,2454.4+1112.8j
2017-11-03 01:10:00,2421.12+1111.06j,2421.12+1111.06j,2421.12+1111.06j
2017-11-03 01:20:00,2387.84+1109.34j,2387.84+1109.34j,2387.84+1109.34j
2017-11-03 01:30:00,2355.6+1107.6j,2355.6+1107.6j,2355.6+1107.6j
2017-11-03 01:40:00,2322.32+1105.86j,2322.32+1105.86j,2322.32+1105.86j
2017-11-03 01:50:00,2289.04+1104.14j,2289.04+1104.14j,2289.04+1104.14j
2017-11-03 02:00:00,2256.8+1102.4j,2256.8+1102.4j,2256.8+1102.4j
2017-11-03 02:10:00,2244.32+1107.6j,2244.32+1107.6j,2244.32+1107.6j
2017-11-03 02:20:00,2231.84+1112.8j,2231.84+1112.8j,2231.84+1112.8j
2017-11-03 02:30:00,2220.4+1118j,2220.4+1118j,2220.4+1118j
2017-11-03 02:40:00,2207.92+1123.2j,2207.92+1123.2j,2207.92+1123.2j
2017-11-03 02:50:00,2195.44+1128.4j,2195.44+1128.4j,2195.44+1128.4j
2017-11-03 03:00:00,2184+1133.6j,2184+1133.6j,2184+1133.6j
2017-11-03 03:10:00,2193.36+1137.06j,2193.36+1137.06j,2193.36+1137.06j
2017-11-03 03:20:00,2204.8+1140.54j,2204.8+1140.54j,2204.8+1140.54j
2017-11-03 03:30:00,2215.2+1144j,2215.2+1144j,2215.2+1144j
2017-11-03 03:40:00,2224.56+1147.46j,2224.56+1147.46j,2224.56+1147.46j
2017-11-03 03:50:00,2236+1150.94j,2236+1150.94j,2236+1150.94j
2017-11-03 04:00:00,2246.4+1154.4j,2246.4+1154.4j,2246.4+1154.4j
2017-11-03 04:10:00,2242.24+1150.94j,2242.24+1150.94j,2242.24+1150.94j
2017-11-03 04:20:00,2239.12+1147.46j,2239.12+1147.46j,2239.12+1147.46j
2017-11-03 04:30:00,2236+1144j,2236+1144j,2236+1144j
2017-11-03 04:40:00,2231.84+1140.54j,2231.84+1140.54j,2231.84+1140.54j
2017-11-03 04:50:00,2228.72+1137.06j,2228.72+1137.06j,2228.72+1137.06j
2017-11-03 05:00:00,2225.6+1133.6j,2225.6+1133.6j,2225.6+1133.6j
2017-11-03 05:10:00,2246.4+1126.66j,2246.4+1126.66j,2246.4+1126.66j
2017-11-03 05:20:00,2267.2+1119.74j,2267.2+1119.74j,2267.2+1119.74j
2017-11-03 05:30:00,2288+1112.8j,2288+1112.8j,2288+1112.8j
2017-11-03 05:40:00,2308.8+1105.86j,2308.8+1105.86j,2308.8+1105.86j
2017-11-03 05:50:00,2329.6+1098.94j,2329.6+1098.94j,2329.6+1098.94j
2017-11-03 06:00:00,2350.4+1092j,2350.4+1092j,2350.4+1092j
2017-11-03 06:10:00,2343.12+1086.8j,2343.12+1086.8j,2343.12+1086.8j
2017-11-03 06:20:00,2335.84+1081.6j,2335.84+1081.6j,2335.84+1081.6j
2017-11-03 06:30:00,2329.6+1076.4j,2329.6+1076.4j,2329.6+1076.4j
2017-11-03 06:40:00,2322.32+1071.2j,2322.32+1071.2j,2322.32+1071.2j
2017-11-03 06:50:00,2315.04+1066j,2315.04+1066j,2315.04+1066j
2017-11-03 07:00:00,2308.8+1060.8j,2308.8+1060.8j,2308.8+1060.8j
2017-11-03 07:10:00,2228.72+1060.8j,2228.72+1060.8j,2228.72+1060.8j
2017-11-03 07:20:00,2148.64+1060.8j,2148.64+1060.8j,2148.64+1060.8j
2017-11-03 07:30:00,2069.6+1060.8j,2069.6+1060.8j,2069.6+1060.8j
2017-11-03 07:40:00,1989.52+1060.8j,1989.52+1060.8j,1989.52+1060.8j
