#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-11-03 00:00:00,208.38+88.17j,208.38+88.17j,208.38+88.17j
2017-11-03 00:10:00,203.78+87.14j,203.78+87.14j,203.78+87.14j
2017-11-03 00:20:00,199.18+86.12j,199.18+86.12j,199.18+86.12j
2017-11-03 00:30:00,194.66+85.1j,194.66+85.1j,194.66+85.1j
2017-11-03 00:40:00,190.06+84.08j,190.06+84.08j,190.06+84.08j
2017-11-03 00:50:00,185.46+83.06j,185.46+83.06j,185.46+83.06j
2017-11-03 01:00:00,180.93+82.03j,180.93+82.03j,180.93+82.03j
2017-11-03 01:10:00,178.48+81.91j,178.48+81.91j,178.48+81.91j
2017-11-03 01:20:00,176.03+81.78j,176.03+81.78j,176.03+81.78j
2017-11-03 01:30:00,173.65+81.65j,173.65+81.65j,173.65+81.65j
2017-11-03 01:40:00,171.2+81.52j,171.2+81.52j,171.2+81.52j
2017-11-03 01:50:00,168.74+81.39j,168.74+81.39j,168.74+81.39j
2017-11-03 02:00:00,166.37+81.27j,166.37+81.27j,166.37+81.27j
2017-11-03 02:10:00,165.45+81.65j,165.45+81.65j,165.45+81.65j
2017-11-03 02:20:00,164.53+82.03j,164.53+82.03j,164.53+82.03j
2017-11-03 02:30:00,163.68+82.42j,163.68+82.42j,163.68+82.42j
2017-11-03 02:40:00,162.76+82.8j,162.76+82.8j,162.76+82.8j
2017-11-03 02:50:00,161.84+83.18j,161.84+83.18j,161.84+83.18j
2017-11-03 03:00:00,161+83.57j,161+83.57j,161+83.57j
2017-11-03 03:10:00,161.69+83.82j,161.69+83.82j,161.69+83.82j
2017-11-03 03:20:00,162.53+84.08j,162.53+84.08j,162.53+84.08j
2017-11-03 03:30:00,163.3+84.33j,163.3+84.33j,163.3+84.33j
2017-11-03 03:40:00,163.99+84.59j,163.99+84.59j,163.99+84.59j
2017-11-03 03:50:00,164.83+84.84j,164.83+84.84j,164.83+84.84j
2017-11-03 04:00:00,165.6+85.1j,165.6+85.1j,165.6+85.1j
2017-11-03 04:10:00,165.29+84.84j,165.29+84.84j,165.29+84.84j
2017-11-03 04:20:00,165.06+84.59j,165.06+84.59j,165.06+84.59j
2017-11-03 04:30:00,164.83+84.33j,164.83+84.33j,164.83+84.33j
2017-11-03 04:40:00,164.53+84.08j,164.53+84.08j,164.53+84.08j
2017-11-03 04:50:00,164.3+83.82j,164.3+83.82j,164.3+83.82j
2017-11-03 05:00:00,164.07+83.57j,164.07+83.57j,164.07+83.57j
2017-11-03 05:10:00,165.6+83.06j,165.6+83.06j,165.6+83.06j
2017-11-03 05:20:00,167.13+82.54j,167.13+82.54j,167.13+82.54j
2017-11-03 05:30:00,168.67+82.03j,168.67+82.03j,168.67+82.03j
2017-11-03 05:40:00,170.2+81.52j,170.2+81.52j,170.2+81.52j
2017-11-03 05:50:00,171.73+81.01j,171.73+81.01j,171.73+81.01j
2017-11-03 06:00:00,173.27+80.5j,173.27+80.5j,173.27+80.5j
2017-11-03 06:10:00,172.73+80.12j,172.73+80.12j,172.73+80.12j
2017-11-03 06:20:00,172.19+79.73j,172.19+79.73j,172.19+79.73j
2017-11-03 06:30:00,171.73+79.35j,171.73+79.35j,171.73+79.35j
2017-11-03 06:40:00,171.2+78.97j,171.2+78.97j,171.2+78.97j
2017-11-03 06:50:00,170.66+78.58j,170.66+78.58j,170.66+78.58j
2017-11-03 07:00:00,170.2+78.2j,170.2+78.2j,170.2+78.2j
2017-11-03 07:10:00,164.3+78.2j,164.3+78.2j,164.3+78.2j
2017-11-03 07:20:00,158.39+78.2j,158.39+78.2j,158.39+78.2j
2017-11-03 07:30:00,152.57+78.2j,152.57+78.2j,152.57+78.2j
2017-11-03 07:40:00,146.66+78.2j,146.66+78.2j,146.66+78.2j
2017-11-03 07:50:00,140.76+78.2j,140.76+78.2j,140.76+78.2j
2017-11-03 08:00:00,134.93+78.2j,134.93+78.2j,134.93+78.2j
2017-11-03 08:10:00,138.46+76.67j,138.46+76.67j,138.46+76.67j
2017-11-03 08:20:00,142.06+75.13j,142.06+75.13j,142.06+75.13j
2017-11-03 08:30:00,145.67+73.6j,145.67+73.6j,145.67+73.6j
2017-11-03 08:40:00,149.19+72.07j,149.19+72.07j,149.19+72.07j
2017-11-03 08:50:00,152.8+70.53j,152.8+70.53j,152.8+70.53j
2017-11-03 09:00:00,156.4+69j,156.4+69j,156.4+69j
2017-11-03 09:10:00,152.64+67.34j,152.64+67.34j,152.64+67.34j
2017-11-03 09:20:00,148.96+65.68j,148.96+65.68j,148.96+65.68j
2017-11-03 09:30:00,145.28+64.02j,145.28+64.02j,145.28+64.02j
2017-11-03 09:40:00,141.53+62.36j,141.53+62.36j,141.53+62.36j
2017-11-03 09:50:00,137.85+60.69j,137.85+60.69j,137.85+60.69j
