p_pv
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.018813713
0.56549025
0.92632115
0.7297993
1.0010525
1.347861
2.0931196
1.9757842
2.0891457
2.457061
2.5604508
2.7175665
3.2199044
3.3468275
3.602493
3.6698518
4.1062984
3.818762
3.6075466
3.9509864
4.1467314
4.088094
4.242188
4.2670417
4.054972
4.2427454
4.0163975
3.935722
4.106263
3.7454627
3.7566783
3.5704503
3.4978456
3.2138317
3.1486316
2.8829799
2.7517586
2.3873274
2.2704675
2.1201186
1.5199004
1.8070499
1.649701
1.0998782
1.4750388
0.44048592
0.7905455
0.11473909
0.07077949
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.08063591
0.12433148
0.5639674
0.85687715
0.76642346
0.9924525
1.3086766
1.7668166
1.7518483
1.9270769
2.1548898
2.2460644
2.3985612
2.768354
2.8562005
3.0664725
3.1387691
3.4259634
3.3071642
3.180025
3.412399
3.560264
3.5170875
3.624368
3.6083527
3.493689
3.5623765
3.3769748
3.3119595
3.4359689
3.1786096
3.1646957
2.9587765
2.8902838
2.6148362
2.587785
2.4058197
2.321386
2.0594854
1.8863704
1.7486928
1.3803217
1.4906204
1.3359097
0.8461855
1.1000942
0.38851634
0.5763386
0.042954605
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
