#timPSTamp,	constant_power_A,constant_power_C
2017-11-03 17:30:00,388.5+143.5j,388.5+143.5j
2017-11-03 17:40:00,383.25+142.92j,383.25+142.92j
2017-11-03 17:50:00,378+142.33j,378+142.33j
2017-11-03 18:00:00,372.75+141.75j,372.75+141.75j
2017-11-03 18:10:00,373.28+140j,373.28+140j
2017-11-03 18:20:00,373.8+138.25j,373.8+138.25j
2017-11-03 18:30:00,374.5+136.5j,374.5+136.5j
2017-11-03 18:40:00,375.03+134.75j,375.03+134.75j
2017-11-03 18:50:00,375.55+133j,375.55+133j
2017-11-03 19:00:00,376.25+131.25j,376.25+131.25j
2017-11-03 19:10:00,382.03+134.46j,382.03+134.46j
2017-11-03 19:20:00,387.8+137.67j,387.8+137.67j
2017-11-03 19:30:00,393.75+140.88j,393.75+140.88j
2017-11-03 19:40:00,399.53+144.08j,399.53+144.08j
2017-11-03 19:50:00,405.3+147.29j,405.3+147.29j
2017-11-03 20:00:00,411.25+150.5j,411.25+150.5j
2017-11-03 20:10:00,437.5+155.75j,437.5+155.75j
2017-11-03 20:20:00,463.58+161j,463.58+161j
2017-11-03 20:30:00,490+166.25j,490+166.25j
2017-11-03 20:40:00,516.25+171.5j,516.25+171.5j
2017-11-03 20:50:00,542.33+176.75j,542.33+176.75j
2017-11-03 21:00:00,568.75+182j,568.75+182j
2017-11-03 21:10:00,551.78+178.79j,551.78+178.79j
2017-11-03 21:20:00,534.8+175.58j,534.8+175.58j
2017-11-03 21:30:00,518+172.38j,518+172.38j
2017-11-03 21:40:00,501.03+169.17j,501.03+169.17j
2017-11-03 21:50:00,484.05+165.96j,484.05+165.96j
2017-11-03 22:00:00,467.25+162.75j,467.25+162.75j
2017-11-03 22:10:00,466.55+166.54j,466.55+166.54j
2017-11-03 22:20:00,466.03+170.33j,466.03+170.33j
2017-11-03 22:30:00,465.5+174.13j,465.5+174.13j
2017-11-03 22:40:00,464.8+177.92j,464.8+177.92j
2017-11-03 22:50:00,464.28+181.71j,464.28+181.71j
2017-11-03 23:00:00,463.75+185.5j,463.75+185.5j
2017-11-03 23:10:00,465.68+189.29j,465.68+189.29j
2017-11-03 23:20:00,467.78+193.08j,467.78+193.08j
2017-11-03 23:30:00,469.88+196.88j,469.88+196.88j
2017-11-03 23:40:00,471.8+200.67j,471.8+200.67j
2017-11-03 23:50:00,473.9+204.46j,473.9+204.46j
2017-11-04 00:00:00,476+208.25j,476+208.25j
2017-11-04 00:10:00,466.9+205.33j,466.9+205.33j
2017-11-04 00:20:00,457.8+202.42j,457.8+202.42j
2017-11-04 00:30:00,448.88+199.5j,448.88+199.5j
2017-11-04 00:40:00,439.78+196.58j,439.78+196.58j
2017-11-04 00:50:00,430.68+193.67j,430.68+193.67j
2017-11-04 01:00:00,421.75+190.75j,421.75+190.75j
2017-11-04 01:10:00,418.78+191.04j,418.78+191.04j
2017-11-04 01:20:00,415.8+191.33j,415.8+191.33j
2017-11-04 01:30:00,413+191.63j,413+191.63j
2017-11-04 01:40:00,410.03+191.92j,410.03+191.92j
2017-11-04 01:50:00,407.05+192.21j,407.05+192.21j
2017-11-04 02:00:00,404.25+192.5j,404.25+192.5j
2017-11-04 02:10:00,403.03+192.5j,403.03+192.5j
2017-11-04 02:20:00,401.8+192.5j,401.8+192.5j
2017-11-04 02:30:00,400.75+192.5j,400.75+192.5j
2017-11-04 02:40:00,399.53+192.5j,399.53+192.5j
2017-11-04 02:50:00,398.3+192.5j,398.3+192.5j
2017-11-04 03:00:00,397.25+192.5j,397.25+192.5j
2017-11-04 03:10:00,395.33+193.08j,395.33+193.08j
2017-11-04 03:20:00,393.75+193.67j,393.75+193.67j
2017-11-04 03:30:00,392+194.25j,392+194.25j
2017-11-04 03:40:00,390.08+194.83j,390.08+194.83j
2017-11-04 03:50:00,388.5+195.42j,388.5+195.42j
2017-11-04 04:00:00,386.75+196j,386.75+196j
2017-11-04 04:10:00,386.93+195.13j,386.93+195.13j
2017-11-04 04:20:00,387.28+194.25j,387.28+194.25j
2017-11-04 04:30:00,387.63+193.38j,387.63+193.38j
2017-11-04 04:40:00,387.8+192.5j,387.8+192.5j
2017-11-04 04:50:00,388.15+191.63j,388.15+191.63j
2017-11-04 05:00:00,388.5+190.75j,388.5+190.75j
2017-11-04 05:10:00,387.8+190.75j,387.8+190.75j
2017-11-04 05:20:00,387.28+190.75j,387.28+190.75j
2017-11-04 05:30:00,386.75+190.75j,386.75+190.75j
2017-11-04 05:40:00,386.05+190.75j,386.05+190.75j
2017-11-04 05:50:00,385.53+190.75j,385.53+190.75j
2017-11-04 06:00:00,385+190.75j,385+190.75j
2017-11-04 06:10:00,378.18+188.42j,378.18+188.42j
2017-11-04 06:20:00,371.53+186.08j,371.53+186.08j
2017-11-04 06:30:00,364.88+183.75j,364.88+183.75j
2017-11-04 06:40:00,358.05+181.42j,358.05+181.42j
2017-11-04 06:50:00,351.4+179.08j,351.4+179.08j
2017-11-04 07:00:00,344.75+176.75j,344.75+176.75j
2017-11-04 07:10:00,336.7+171.5j,336.7+171.5j
2017-11-04 07:20:00,329+166.25j,329+166.25j
2017-11-04 07:30:00,321.13+161j,321.13+161j
2017-11-04 07:40:00,313.08+155.75j,313.08+155.75j
2017-11-04 07:50:00,305.38+150.5j,305.38+150.5j
2017-11-04 08:00:00,297.5+145.25j,297.5+145.25j
2017-11-04 08:10:00,299.78+149.04j,299.78+149.04j
2017-11-04 08:20:00,302.05+152.83j,302.05+152.83j
2017-11-04 08:30:00,304.5+156.63j,304.5+156.63j
2017-11-04 08:40:00,306.78+160.42j,306.78+160.42j
2017-11-04 08:50:00,309.05+164.21j,309.05+164.21j
2017-11-04 09:00:00,311.5+168j,311.5+168j
2017-11-04 09:10:00,326.38+172.08j,326.38+172.08j
2017-11-04 09:20:00,341.08+176.17j,341.08+176.17j
2017-11-04 09:30:00,356.13+180.25j,356.13+180.25j
2017-11-04 09:40:00,371+184.33j,371+184.33j
2017-11-04 09:50:00,385.7+188.42j,385.7+188.42j
2017-11-04 10:00:00,400.75+192.5j,400.75+192.5j
2017-11-04 10:10:00,411.43+193.96j,411.43+193.96j
2017-11-04 10:20:00,422.28+195.42j,422.28+195.42j
2017-11-04 10:30:00,433.13+196.88j,433.13+196.88j
2017-11-04 10:40:00,443.8+198.33j,443.8+198.33j
2017-11-04 10:50:00,454.65+199.79j,454.65+199.79j
