#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-11-03 00:00:00,1041.9+440.83j,1041.9+440.83j,1041.9+440.83j
2017-11-03 00:10:00,1018.9+435.72j,1018.9+435.72j,1018.9+435.72j
2017-11-03 00:20:00,995.9+430.61j,995.9+430.61j,995.9+430.61j
2017-11-03 00:30:00,973.28+425.5j,973.28+425.5j,973.28+425.5j
2017-11-03 00:40:00,950.28+420.39j,950.28+420.39j,950.28+420.39j
2017-11-03 00:50:00,927.28+415.28j,927.28+415.28j,927.28+415.28j
2017-11-03 01:00:00,904.67+410.17j,904.67+410.17j,904.67+410.17j
2017-11-03 01:10:00,892.4+409.53j,892.4+409.53j,892.4+409.53j
2017-11-03 01:20:00,880.13+408.89j,880.13+408.89j,880.13+408.89j
2017-11-03 01:30:00,868.25+408.25j,868.25+408.25j,868.25+408.25j
2017-11-03 01:40:00,855.98+407.61j,855.98+407.61j,855.98+407.61j
2017-11-03 01:50:00,843.72+406.97j,843.72+406.97j,843.72+406.97j
2017-11-03 02:00:00,831.83+406.33j,831.83+406.33j,831.83+406.33j
2017-11-03 02:10:00,827.23+408.25j,827.23+408.25j,827.23+408.25j
2017-11-03 02:20:00,822.63+410.17j,822.63+410.17j,822.63+410.17j
2017-11-03 02:30:00,818.42+412.08j,818.42+412.08j,818.42+412.08j
2017-11-03 02:40:00,813.82+414j,813.82+414j,813.82+414j
2017-11-03 02:50:00,809.22+415.92j,809.22+415.92j,809.22+415.92j
2017-11-03 03:00:00,805+417.83j,805+417.83j,805+417.83j
2017-11-03 03:10:00,808.45+419.11j,808.45+419.11j,808.45+419.11j
2017-11-03 03:20:00,812.67+420.39j,812.67+420.39j,812.67+420.39j
2017-11-03 03:30:00,816.5+421.67j,816.5+421.67j,816.5+421.67j
2017-11-03 03:40:00,819.95+422.94j,819.95+422.94j,819.95+422.94j
2017-11-03 03:50:00,824.17+424.22j,824.17+424.22j,824.17+424.22j
2017-11-03 04:00:00,828+425.5j,828+425.5j,828+425.5j
2017-11-03 04:10:00,826.47+424.22j,826.47+424.22j,826.47+424.22j
2017-11-03 04:20:00,825.32+422.94j,825.32+422.94j,825.32+422.94j
2017-11-03 04:30:00,824.17+421.67j,824.17+421.67j,824.17+421.67j
2017-11-03 04:40:00,822.63+420.39j,822.63+420.39j,822.63+420.39j
2017-11-03 04:50:00,821.48+419.11j,821.48+419.11j,821.48+419.11j
2017-11-03 05:00:00,820.33+417.83j,820.33+417.83j,820.33+417.83j
2017-11-03 05:10:00,828+415.28j,828+415.28j,828+415.28j
2017-11-03 05:20:00,835.67+412.72j,835.67+412.72j,835.67+412.72j
2017-11-03 05:30:00,843.33+410.17j,843.33+410.17j,843.33+410.17j
2017-11-03 05:40:00,851+407.61j,851+407.61j,851+407.61j
2017-11-03 05:50:00,858.67+405.06j,858.67+405.06j,858.67+405.06j
2017-11-03 06:00:00,866.33+402.5j,866.33+402.5j,866.33+402.5j
2017-11-03 06:10:00,863.65+400.58j,863.65+400.58j,863.65+400.58j
2017-11-03 06:20:00,860.97+398.67j,860.97+398.67j,860.97+398.67j
