#timPSTamp,	constant_power_A,constant_power_C
2017-11-03 00:00:00,557.19+235.75j,557.19+235.75j
2017-11-03 00:10:00,544.89+233.02j,544.89+233.02j
2017-11-03 00:20:00,532.59+230.28j,532.59+230.28j
2017-11-03 00:30:00,520.5+227.55j,520.5+227.55j
2017-11-03 00:40:00,508.2+224.82j,508.2+224.82j
2017-11-03 00:50:00,495.9+222.08j,495.9+222.08j
2017-11-03 01:00:00,483.8+219.35j,483.8+219.35j
2017-11-03 01:10:00,477.24+219.01j,477.24+219.01j
2017-11-03 01:20:00,470.68+218.67j,470.68+218.67j
2017-11-03 01:30:00,464.33+218.33j,464.33+218.33j
2017-11-03 01:40:00,457.77+217.98j,457.77+217.98j
2017-11-03 01:50:00,451.21+217.64j,451.21+217.64j
2017-11-03 02:00:00,444.85+217.3j,444.85+217.3j
2017-11-03 02:10:00,442.39+218.33j,442.39+218.33j
2017-11-03 02:20:00,439.93+219.35j,439.93+219.35j
2017-11-03 02:30:00,437.68+220.38j,437.68+220.38j
2017-11-03 02:40:00,435.22+221.4j,435.22+221.4j
2017-11-03 02:50:00,432.76+222.43j,432.76+222.43j
2017-11-03 03:00:00,430.5+223.45j,430.5+223.45j
2017-11-03 03:10:00,432.35+224.13j,432.35+224.13j
2017-11-03 03:20:00,434.6+224.82j,434.6+224.82j
2017-11-03 03:30:00,436.65+225.5j,436.65+225.5j
2017-11-03 03:40:00,438.5+226.18j,438.5+226.18j
2017-11-03 03:50:00,440.75+226.87j,440.75+226.87j
2017-11-03 04:00:00,442.8+227.55j,442.8+227.55j
2017-11-03 04:10:00,441.98+226.87j,441.98+226.87j
2017-11-03 04:20:00,441.37+226.18j,441.37+226.18j
2017-11-03 04:30:00,440.75+225.5j,440.75+225.5j
2017-11-03 04:40:00,439.93+224.82j,439.93+224.82j
2017-11-03 04:50:00,439.32+224.13j,439.32+224.13j
2017-11-03 05:00:00,438.7+223.45j,438.7+223.45j
2017-11-03 05:10:00,442.8+222.08j,442.8+222.08j
2017-11-03 05:20:00,446.9+220.72j,446.9+220.72j
2017-11-03 05:30:00,451+219.35j,451+219.35j
2017-11-03 05:40:00,455.1+217.98j,455.1+217.98j
2017-11-03 05:50:00,459.2+216.62j,459.2+216.62j
2017-11-03 06:00:00,463.3+215.25j,463.3+215.25j
2017-11-03 06:10:00,461.87+214.23j,461.87+214.23j
2017-11-03 06:20:00,460.43+213.2j,460.43+213.2j
2017-11-03 06:30:00,459.2+212.18j,459.2+212.18j
2017-11-03 06:40:00,457.77+211.15j,457.77+211.15j
2017-11-03 06:50:00,456.33+210.13j,456.33+210.13j
2017-11-03 07:00:00,455.1+209.1j,455.1+209.1j
2017-11-03 07:10:00,439.32+209.1j,439.32+209.1j
2017-11-03 07:20:00,423.53+209.1j,423.53+209.1j
2017-11-03 07:30:00,407.95+209.1j,407.95+209.1j
2017-11-03 07:40:00,392.17+209.1j,392.17+209.1j
2017-11-03 07:50:00,376.38+209.1j,376.38+209.1j
2017-11-03 08:00:00,360.8+209.1j,360.8+209.1j
2017-11-03 08:10:00,370.23+205j,370.23+205j
2017-11-03 08:20:00,379.87+200.9j,379.87+200.9j
2017-11-03 08:30:00,389.5+196.8j,389.5+196.8j
2017-11-03 08:40:00,398.93+192.7j,398.93+192.7j
2017-11-03 08:50:00,408.57+188.6j,408.57+188.6j
2017-11-03 09:00:00,418.2+184.5j,418.2+184.5j
2017-11-03 09:10:00,408.16+180.06j,408.16+180.06j
2017-11-03 09:20:00,398.32+175.62j,398.32+175.62j
2017-11-03 09:30:00,388.48+171.18j,388.48+171.18j
2017-11-03 09:40:00,378.43+166.73j,378.43+166.73j
2017-11-03 09:50:00,368.59+162.29j,368.59+162.29j
2017-11-03 10:00:00,358.75+157.85j,358.75+157.85j
2017-11-03 10:10:00,361.83+156.83j,361.83+156.83j
2017-11-03 10:20:00,364.9+155.8j,364.9+155.8j
2017-11-03 10:30:00,367.98+154.78j,367.98+154.78j
2017-11-03 10:40:00,371.05+153.75j,371.05+153.75j
2017-11-03 10:50:00,374.13+152.73j,374.13+152.73j
2017-11-03 11:00:00,377.2+151.7j,377.2+151.7j
2017-11-03 11:10:00,375.36+153.41j,375.36+153.41j
2017-11-03 11:20:00,373.72+155.12j,373.72+155.12j
2017-11-03 11:30:00,372.08+156.83j,372.08+156.83j
2017-11-03 11:40:00,370.23+158.53j,370.23+158.53j
2017-11-03 11:50:00,368.59+160.24j,368.59+160.24j
2017-11-03 12:00:00,366.95+161.95j,366.95+161.95j
2017-11-03 12:10:00,369+161.27j,369+161.27j
2017-11-03 12:20:00,371.05+160.58j,371.05+160.58j
2017-11-03 12:30:00,373.1+159.9j,373.1+159.9j
2017-11-03 12:40:00,375.15+159.22j,375.15+159.22j
2017-11-03 12:50:00,377.2+158.53j,377.2+158.53j
2017-11-03 13:00:00,379.25+157.85j,379.25+157.85j
2017-11-03 13:10:00,388.07+158.88j,388.07+158.88j
2017-11-03 13:20:00,396.88+159.9j,396.88+159.9j
2017-11-03 13:30:00,405.9+160.93j,405.9+160.93j
2017-11-03 13:40:00,414.72+161.95j,414.72+161.95j
2017-11-03 13:50:00,423.53+162.98j,423.53+162.98j
2017-11-03 14:00:00,432.55+164j,432.55+164j
2017-11-03 14:10:00,432.14+162.63j,432.14+162.63j
2017-11-03 14:20:00,431.73+161.27j,431.73+161.27j
2017-11-03 14:30:00,431.53+159.9j,431.53+159.9j
2017-11-03 14:40:00,431.12+158.53j,431.12+158.53j
2017-11-03 14:50:00,430.71+157.17j,430.71+157.17j
2017-11-03 15:00:00,430.5+155.8j,430.5+155.8j
2017-11-03 15:10:00,431.12+158.19j,431.12+158.19j
2017-11-03 15:20:00,431.73+160.58j,431.73+160.58j
2017-11-03 15:30:00,432.55+162.98j,432.55+162.98j
2017-11-03 15:40:00,433.17+165.37j,433.17+165.37j
2017-11-03 15:50:00,433.78+167.76j,433.78+167.76j
2017-11-03 16:00:00,434.6+170.15j,434.6+170.15j
2017-11-03 16:10:00,440.96+170.15j,440.96+170.15j
2017-11-03 16:20:00,447.52+170.15j,447.52+170.15j
2017-11-03 16:30:00,454.08+170.15j,454.08+170.15j
2017-11-03 16:40:00,460.43+170.15j,460.43+170.15j
2017-11-03 16:50:00,466.99+170.15j,466.99+170.15j
2017-11-03 17:00:00,473.55+170.15j,473.55+170.15j
2017-11-03 17:10:00,467.4+169.47j,467.4+169.47j
