#timPSTamp,	constant_power_A,constant_power_C
2017-11-03 00:00:00,108.72+46j,108.72+46j
2017-11-03 00:10:00,106.32+45.47j,106.32+45.47j
2017-11-03 00:20:00,103.92+44.93j,103.92+44.93j
2017-11-03 00:30:00,101.56+44.4j,101.56+44.4j
2017-11-03 00:40:00,99.16+43.87j,99.16+43.87j
2017-11-03 00:50:00,96.76+43.33j,96.76+43.33j
2017-11-03 01:00:00,94.4+42.8j,94.4+42.8j
2017-11-03 01:10:00,93.12+42.73j,93.12+42.73j
2017-11-03 01:20:00,91.84+42.67j,91.84+42.67j
2017-11-03 01:30:00,90.6+42.6j,90.6+42.6j
2017-11-03 01:40:00,89.32+42.53j,89.32+42.53j
2017-11-03 01:50:00,88.04+42.47j,88.04+42.47j
2017-11-03 02:00:00,86.8+42.4j,86.8+42.4j
2017-11-03 02:10:00,86.32+42.6j,86.32+42.6j
2017-11-03 02:20:00,85.84+42.8j,85.84+42.8j
2017-11-03 02:30:00,85.4+43j,85.4+43j
2017-11-03 02:40:00,84.92+43.2j,84.92+43.2j
2017-11-03 02:50:00,84.44+43.4j,84.44+43.4j
2017-11-03 03:00:00,84+43.6j,84+43.6j
2017-11-03 03:10:00,84.36+43.73j,84.36+43.73j
2017-11-03 03:20:00,84.8+43.87j,84.8+43.87j
2017-11-03 03:30:00,85.2+44j,85.2+44j
2017-11-03 03:40:00,85.56+44.13j,85.56+44.13j
2017-11-03 03:50:00,86+44.27j,86+44.27j
2017-11-03 04:00:00,86.4+44.4j,86.4+44.4j
2017-11-03 04:10:00,86.24+44.27j,86.24+44.27j
2017-11-03 04:20:00,86.12+44.13j,86.12+44.13j
2017-11-03 04:30:00,86+44j,86+44j
2017-11-03 04:40:00,85.84+43.87j,85.84+43.87j
2017-11-03 04:50:00,85.72+43.73j,85.72+43.73j
2017-11-03 05:00:00,85.6+43.6j,85.6+43.6j
2017-11-03 05:10:00,86.4+43.33j,86.4+43.33j
2017-11-03 05:20:00,87.2+43.07j,87.2+43.07j
2017-11-03 05:30:00,88+42.8j,88+42.8j
2017-11-03 05:40:00,88.8+42.53j,88.8+42.53j
2017-11-03 05:50:00,89.6+42.27j,89.6+42.27j
2017-11-03 06:00:00,90.4+42j,90.4+42j
2017-11-03 06:10:00,90.12+41.8j,90.12+41.8j
2017-11-03 06:20:00,89.84+41.6j,89.84+41.6j
2017-11-03 06:30:00,89.6+41.4j,89.6+41.4j
2017-11-03 06:40:00,89.32+41.2j,89.32+41.2j
2017-11-03 06:50:00,89.04+41j,89.04+41j
2017-11-03 07:00:00,88.8+40.8j,88.8+40.8j
2017-11-03 07:10:00,85.72+40.8j,85.72+40.8j
2017-11-03 07:20:00,82.64+40.8j,82.64+40.8j
2017-11-03 07:30:00,79.6+40.8j,79.6+40.8j
2017-11-03 07:40:00,76.52+40.8j,76.52+40.8j
