#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-11-03 00:00:00,1295.58+548.17j,1295.58+548.17j,1295.58+548.17j
2017-11-03 00:10:00,1266.98+541.81j,1266.98+541.81j,1266.98+541.81j
2017-11-03 00:20:00,1238.38+535.45j,1238.38+535.45j,1238.38+535.45j
2017-11-03 00:30:00,1210.26+529.1j,1210.26+529.1j,1210.26+529.1j
2017-11-03 00:40:00,1181.66+522.75j,1181.66+522.75j,1181.66+522.75j
2017-11-03 00:50:00,1153.06+516.39j,1153.06+516.39j,1153.06+516.39j
2017-11-03 01:00:00,1124.93+510.03j,1124.93+510.03j,1124.93+510.03j
2017-11-03 01:10:00,1109.68+509.24j,1109.68+509.24j,1109.68+509.24j
2017-11-03 01:20:00,1094.43+508.45j,1094.43+508.45j,1094.43+508.45j
2017-11-03 01:30:00,1079.65+507.65j,1079.65+507.65j,1079.65+507.65j
2017-11-03 01:40:00,1064.4+506.85j,1064.4+506.85j,1064.4+506.85j
2017-11-03 01:50:00,1049.14+506.06j,1049.14+506.06j,1049.14+506.06j
2017-11-03 02:00:00,1034.37+505.27j,1034.37+505.27j,1034.37+505.27j
2017-11-03 02:10:00,1028.65+507.65j,1028.65+507.65j,1028.65+507.65j
2017-11-03 02:20:00,1022.93+510.03j,1022.93+510.03j,1022.93+510.03j
2017-11-03 02:30:00,1017.68+512.42j,1017.68+512.42j,1017.68+512.42j
2017-11-03 02:40:00,1011.96+514.8j,1011.96+514.8j,1011.96+514.8j
2017-11-03 02:50:00,1006.24+517.18j,1006.24+517.18j,1006.24+517.18j
2017-11-03 03:00:00,1001+519.57j,1001+519.57j,1001+519.57j
2017-11-03 03:10:00,1005.29+521.15j,1005.29+521.15j,1005.29+521.15j
2017-11-03 03:20:00,1010.53+522.75j,1010.53+522.75j,1010.53+522.75j
2017-11-03 03:30:00,1015.3+524.33j,1015.3+524.33j,1015.3+524.33j
2017-11-03 03:40:00,1019.59+525.92j,1019.59+525.92j,1019.59+525.92j
2017-11-03 03:50:00,1024.83+527.51j,1024.83+527.51j,1024.83+527.51j
2017-11-03 04:00:00,1029.6+529.1j,1029.6+529.1j,1029.6+529.1j
2017-11-03 04:10:00,1027.69+527.51j,1027.69+527.51j,1027.69+527.51j
2017-11-03 04:20:00,1026.26+525.92j,1026.26+525.92j,1026.26+525.92j
2017-11-03 04:30:00,1024.83+524.33j,1024.83+524.33j,1024.83+524.33j
2017-11-03 04:40:00,1022.93+522.75j,1022.93+522.75j,1022.93+522.75j
2017-11-03 04:50:00,1021.5+521.15j,1021.5+521.15j,1021.5+521.15j
2017-11-03 05:00:00,1020.07+519.57j,1020.07+519.57j,1020.07+519.57j
2017-11-03 05:10:00,1029.6+516.39j,1029.6+516.39j,1029.6+516.39j
2017-11-03 05:20:00,1039.13+513.21j,1039.13+513.21j,1039.13+513.21j
2017-11-03 05:30:00,1048.67+510.03j,1048.67+510.03j,1048.67+510.03j
2017-11-03 05:40:00,1058.2+506.85j,1058.2+506.85j,1058.2+506.85j
2017-11-03 05:50:00,1067.73+503.68j,1067.73+503.68j,1067.73+503.68j
2017-11-03 06:00:00,1077.27+500.5j,1077.27+500.5j,1077.27+500.5j
2017-11-03 06:10:00,1073.93+498.12j,1073.93+498.12j,1073.93+498.12j
2017-11-03 06:20:00,1070.59+495.73j,1070.59+495.73j,1070.59+495.73j
2017-11-03 06:30:00,1067.73+493.35j,1067.73+493.35j,1067.73+493.35j
2017-11-03 06:40:00,1064.4+490.97j,1064.4+490.97j,1064.4+490.97j
