# file...... Medidor_potencia_inverosr_bateria.txt
# date...... Thu Nov 11 11:34:45 2021
# user...... leona
# host...... (null)
# target.... meter 20
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2017-11-03 16:30:00 PDT,-3217.27,-141927
2017-11-03 16:40:00 PDT,-17129.8,-141927
2017-11-03 16:50:00 PDT,-11089.6,-141927
2017-11-03 17:00:00 PDT,-6348.41,-141927
2017-11-03 17:10:00 PDT,+6340.69,-141593
2017-11-03 17:20:00 PDT,+117.024,-141261
2017-11-03 17:30:00 PDT,+210,-140927
2017-11-03 17:40:00 PDT,-630,-140593
2017-11-03 17:50:00 PDT,-720,-140261
2017-11-03 18:00:00 PDT,-370,-139927
2017-11-03 18:10:00 PDT,-130,-138927
2017-11-03 18:20:00 PDT,+3.63798e-012,-137927
2017-11-03 18:30:00 PDT,+0,-136927
2017-11-03 18:40:00 PDT,-1.13687e-013,-135927
2017-11-03 18:50:00 PDT,+7.16227e-012,-134927
2017-11-03 19:00:00 PDT,+0,-133927
2017-11-03 19:10:00 PDT,+0,-135760
2017-11-03 19:20:00 PDT,+0,-137594
2017-11-03 19:30:00 PDT,+0,-139427
2017-11-03 19:40:00 PDT,+0,-141260
2017-11-03 19:50:00 PDT,+0,-143094
2017-11-03 20:00:00 PDT,-7.04858e-012,-144927
2017-11-03 20:10:00 PDT,-3.52429e-012,-147927
2017-11-03 20:20:00 PDT,+3.41061e-012,-150927
2017-11-03 20:30:00 PDT,-7.04858e-012,-153927
2017-11-03 20:40:00 PDT,+2.27374e-013,-156927
2017-11-03 20:50:00 PDT,-9910,-159927
2017-11-03 21:00:00 PDT,-25010,-162927
2017-11-03 21:10:00 PDT,-15310,-161093
2017-11-03 21:20:00 PDT,-5610,-159261
2017-11-03 21:30:00 PDT,+3027.03,-157427
2017-11-03 21:40:00 PDT,-7.50333e-012,-155593
2017-11-03 21:50:00 PDT,+23390,-153761
2017-11-03 22:00:00 PDT,+32990,-151927
2017-11-03 22:10:00 PDT,+33390,-154094
2017-11-03 22:20:00 PDT,+33690,-156260
2017-11-03 22:30:00 PDT,+2895.23,-158427
2017-11-03 22:40:00 PDT,-7.04858e-012,-160594
2017-11-03 22:50:00 PDT,+0,-162760
2017-11-03 23:00:00 PDT,+0,-164927
2017-11-03 23:10:00 PDT,+34.7771,-167093
2017-11-03 23:20:00 PDT,-3.63798e-012,-169261
2017-11-03 23:30:00 PDT,-3.63798e-012,-171427
2017-11-03 23:40:00 PDT,+0,-173593
2017-11-03 23:50:00 PDT,+3.63798e-012,-175761
2017-11-04 00:00:00 PDT,+30.794,-177927
2017-11-04 00:10:00 PDT,+4.11131,-176261
2017-11-04 00:20:00 PDT,+174.501,-174593
2017-11-04 00:30:00 PDT,+59.7432,-172927
2017-11-04 00:40:00 PDT,+0,-171261
2017-11-04 00:50:00 PDT,+26.2153,-169593
2017-11-04 01:00:00 PDT,+218.77,-167927
2017-11-04 01:10:00 PDT,+0,-168094
2017-11-04 01:20:00 PDT,+3.63798e-012,-168260
2017-11-04 01:30:00 PDT,+0,-168427
2017-11-04 01:40:00 PDT,+3.63798e-012,-168594
2017-11-04 01:50:00 PDT,-3.63798e-012,-168760
2017-11-04 02:00:00 PDT,+1.13687e-013,-168927
2017-11-04 02:10:00 PDT,+3.63798e-012,-168927
2017-11-04 02:20:00 PDT,-3.75167e-012,-168927
2017-11-04 02:30:00 PDT,+0,-168927
2017-11-04 02:40:00 PDT,-7.27596e-012,-168927
2017-11-04 02:50:00 PDT,+3.75167e-012,-168927
2017-11-04 03:00:00 PDT,+3.75167e-012,-168927
2017-11-04 03:10:00 PDT,+3.63798e-012,-169260
2017-11-04 03:20:00 PDT,-3.52429e-012,-169594
2017-11-04 03:30:00 PDT,-7.27596e-012,-169927
2017-11-04 03:40:00 PDT,+1.13687e-013,-170260
2017-11-04 03:50:00 PDT,-3.52429e-012,-170594
2017-11-04 04:00:00 PDT,+3.63798e-012,-170927
2017-11-04 04:10:00 PDT,+3.63798e-012,-170427
2017-11-04 04:20:00 PDT,+0,-169927
2017-11-04 04:30:00 PDT,+0,-169427
2017-11-04 04:40:00 PDT,-1.13687e-013,-168927
2017-11-04 04:50:00 PDT,-1.13687e-013,-168427
2017-11-04 05:00:00 PDT,+1.13687e-013,-167927
2017-11-04 05:10:00 PDT,+0,-167927
2017-11-04 05:20:00 PDT,-643.098,-167927
2017-11-04 05:30:00 PDT,-22.384,-167927
2017-11-04 05:40:00 PDT,-193.581,-167927
2017-11-04 05:50:00 PDT,-459.6,-167927
2017-11-04 06:00:00 PDT,-782.564,-167927
2017-11-04 06:10:00 PDT,-1070.74,-166594
2017-11-04 06:20:00 PDT,-1376.94,-165260
2017-11-04 06:30:00 PDT,-1605.35,-163927
2017-11-04 06:40:00 PDT,-1776.41,-162594
2017-11-04 06:50:00 PDT,-1866.18,-161260
2017-11-04 07:00:00 PDT,-1856.18,-159927
2017-11-04 07:10:00 PDT,-1746.33,-156927
2017-11-04 07:20:00 PDT,-1556.57,-153927
2017-11-04 07:30:00 PDT,+420.165,-150927
2017-11-04 07:40:00 PDT,+2741.54,-147927
2017-11-04 07:50:00 PDT,+1644.28,-144927
2017-11-04 08:00:00 PDT,+1081.07,-141927
2017-11-04 08:10:00 PDT,-450.442,-144093
2017-11-04 08:20:00 PDT,-1524.17,-146261
2017-11-04 08:30:00 PDT,+221.57,-148427
2017-11-04 08:40:00 PDT,+467.387,-150593
2017-11-04 08:50:00 PDT,+1027.99,-152761
2017-11-04 09:00:00 PDT,+1444.05,-154927
2017-11-04 09:10:00 PDT,-2028.68,-157260
2017-11-04 09:20:00 PDT,+2906.25,-159594
2017-11-04 09:30:00 PDT,+3683.73,-161927
2017-11-04 09:40:00 PDT,+3929.69,-164260
2017-11-04 09:50:00 PDT,+3297.35,-166594
2017-11-04 10:00:00 PDT,+0,-168927
2017-11-04 10:10:00 PDT,+3.41061e-012,-169761
