#timPSTamp,	constant_power_A,constant_power_C
2017-11-03 00:00:00,434.88+184j,434.88+184j
2017-11-03 00:10:00,425.28+181.87j,425.28+181.87j
2017-11-03 00:20:00,415.68+179.73j,415.68+179.73j
2017-11-03 00:30:00,406.24+177.6j,406.24+177.6j
2017-11-03 00:40:00,396.64+175.47j,396.64+175.47j
2017-11-03 00:50:00,387.04+173.33j,387.04+173.33j
2017-11-03 01:00:00,377.6+171.2j,377.6+171.2j
2017-11-03 01:10:00,372.48+170.93j,372.48+170.93j
2017-11-03 01:20:00,367.36+170.67j,367.36+170.67j
2017-11-03 01:30:00,362.4+170.4j,362.4+170.4j
2017-11-03 01:40:00,357.28+170.13j,357.28+170.13j
2017-11-03 01:50:00,352.16+169.87j,352.16+169.87j
2017-11-03 02:00:00,347.2+169.6j,347.2+169.6j
2017-11-03 02:10:00,345.28+170.4j,345.28+170.4j
2017-11-03 02:20:00,343.36+171.2j,343.36+171.2j
2017-11-03 02:30:00,341.6+172j,341.6+172j
2017-11-03 02:40:00,339.68+172.8j,339.68+172.8j
2017-11-03 02:50:00,337.76+173.6j,337.76+173.6j
2017-11-03 03:00:00,336+174.4j,336+174.4j
2017-11-03 03:10:00,337.44+174.93j,337.44+174.93j
2017-11-03 03:20:00,339.2+175.47j,339.2+175.47j
2017-11-03 03:30:00,340.8+176j,340.8+176j
2017-11-03 03:40:00,342.24+176.53j,342.24+176.53j
2017-11-03 03:50:00,344+177.07j,344+177.07j
2017-11-03 04:00:00,345.6+177.6j,345.6+177.6j
2017-11-03 04:10:00,344.96+177.07j,344.96+177.07j
2017-11-03 04:20:00,344.48+176.53j,344.48+176.53j
2017-11-03 04:30:00,344+176j,344+176j
2017-11-03 04:40:00,343.36+175.47j,343.36+175.47j
2017-11-03 04:50:00,342.88+174.93j,342.88+174.93j
2017-11-03 05:00:00,342.4+174.4j,342.4+174.4j
2017-11-03 05:10:00,345.6+173.33j,345.6+173.33j
2017-11-03 05:20:00,348.8+172.27j,348.8+172.27j
2017-11-03 05:30:00,352+171.2j,352+171.2j
2017-11-03 05:40:00,355.2+170.13j,355.2+170.13j
2017-11-03 05:50:00,358.4+169.07j,358.4+169.07j
2017-11-03 06:00:00,361.6+168j,361.6+168j
2017-11-03 06:10:00,360.48+167.2j,360.48+167.2j
2017-11-03 06:20:00,359.36+166.4j,359.36+166.4j
2017-11-03 06:30:00,358.4+165.6j,358.4+165.6j
2017-11-03 06:40:00,357.28+164.8j,357.28+164.8j
2017-11-03 06:50:00,356.16+164j,356.16+164j
2017-11-03 07:00:00,355.2+163.2j,355.2+163.2j
2017-11-03 07:10:00,342.88+163.2j,342.88+163.2j
2017-11-03 07:20:00,330.56+163.2j,330.56+163.2j
2017-11-03 07:30:00,318.4+163.2j,318.4+163.2j
2017-11-03 07:40:00,306.08+163.2j,306.08+163.2j
2017-11-03 07:50:00,293.76+163.2j,293.76+163.2j
2017-11-03 08:00:00,281.6+163.2j,281.6+163.2j
2017-11-03 08:10:00,288.96+160j,288.96+160j
2017-11-03 08:20:00,296.48+156.8j,296.48+156.8j
2017-11-03 08:30:00,304+153.6j,304+153.6j
2017-11-03 08:40:00,311.36+150.4j,311.36+150.4j
2017-11-03 08:50:00,318.88+147.2j,318.88+147.2j
2017-11-03 09:00:00,326.4+144j,326.4+144j
2017-11-03 09:10:00,318.56+140.53j,318.56+140.53j
2017-11-03 09:20:00,310.88+137.07j,310.88+137.07j
2017-11-03 09:30:00,303.2+133.6j,303.2+133.6j
2017-11-03 09:40:00,295.36+130.13j,295.36+130.13j
2017-11-03 09:50:00,287.68+126.67j,287.68+126.67j
2017-11-03 10:00:00,280+123.2j,280+123.2j
2017-11-03 10:10:00,282.4+122.4j,282.4+122.4j
2017-11-03 10:20:00,284.8+121.6j,284.8+121.6j
2017-11-03 10:30:00,287.2+120.8j,287.2+120.8j
2017-11-03 10:40:00,289.6+120j,289.6+120j
2017-11-03 10:50:00,292+119.2j,292+119.2j
2017-11-03 11:00:00,294.4+118.4j,294.4+118.4j
2017-11-03 11:10:00,292.96+119.73j,292.96+119.73j
2017-11-03 11:20:00,291.68+121.07j,291.68+121.07j
2017-11-03 11:30:00,290.4+122.4j,290.4+122.4j
2017-11-03 11:40:00,288.96+123.73j,288.96+123.73j
2017-11-03 11:50:00,287.68+125.07j,287.68+125.07j
2017-11-03 12:00:00,286.4+126.4j,286.4+126.4j
2017-11-03 12:10:00,288+125.87j,288+125.87j
2017-11-03 12:20:00,289.6+125.33j,289.6+125.33j
2017-11-03 12:30:00,291.2+124.8j,291.2+124.8j
2017-11-03 12:40:00,292.8+124.27j,292.8+124.27j
2017-11-03 12:50:00,294.4+123.73j,294.4+123.73j
2017-11-03 13:00:00,296+123.2j,296+123.2j
2017-11-03 13:10:00,302.88+124j,302.88+124j
2017-11-03 13:20:00,309.76+124.8j,309.76+124.8j
2017-11-03 13:30:00,316.8+125.6j,316.8+125.6j
2017-11-03 13:40:00,323.68+126.4j,323.68+126.4j
2017-11-03 13:50:00,330.56+127.2j,330.56+127.2j
2017-11-03 14:00:00,337.6+128j,337.6+128j
2017-11-03 14:10:00,337.28+126.93j,337.28+126.93j
2017-11-03 14:20:00,336.96+125.87j,336.96+125.87j
