#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-11-03 00:00:00,1775.76+751.33j,1775.76+751.33j,1775.76+751.33j
2017-11-03 00:10:00,1736.56+742.62j,1736.56+742.62j,1736.56+742.62j
2017-11-03 00:20:00,1697.36+733.91j,1697.36+733.91j,1697.36+733.91j
2017-11-03 00:30:00,1658.81+725.2j,1658.81+725.2j,1658.81+725.2j
2017-11-03 00:40:00,1619.61+716.49j,1619.61+716.49j,1619.61+716.49j
2017-11-03 00:50:00,1580.41+707.78j,1580.41+707.78j,1580.41+707.78j
2017-11-03 01:00:00,1541.87+699.07j,1541.87+699.07j,1541.87+699.07j
2017-11-03 01:10:00,1520.96+697.98j,1520.96+697.98j,1520.96+697.98j
2017-11-03 01:20:00,1500.05+696.89j,1500.05+696.89j,1500.05+696.89j
2017-11-03 01:30:00,1479.8+695.8j,1479.8+695.8j,1479.8+695.8j
2017-11-03 01:40:00,1458.89+694.71j,1458.89+694.71j,1458.89+694.71j
2017-11-03 01:50:00,1437.99+693.62j,1437.99+693.62j,1437.99+693.62j
2017-11-03 02:00:00,1417.73+692.53j,1417.73+692.53j,1417.73+692.53j
2017-11-03 02:10:00,1409.89+695.8j,1409.89+695.8j,1409.89+695.8j
2017-11-03 02:20:00,1402.05+699.07j,1402.05+699.07j,1402.05+699.07j
2017-11-03 02:30:00,1394.87+702.33j,1394.87+702.33j,1394.87+702.33j
2017-11-03 02:40:00,1387.03+705.6j,1387.03+705.6j,1387.03+705.6j
2017-11-03 02:50:00,1379.19+708.87j,1379.19+708.87j,1379.19+708.87j
2017-11-03 03:00:00,1372+712.13j,1372+712.13j,1372+712.13j
2017-11-03 03:10:00,1377.88+714.31j,1377.88+714.31j,1377.88+714.31j
2017-11-03 03:20:00,1385.07+716.49j,1385.07+716.49j,1385.07+716.49j
2017-11-03 03:30:00,1391.6+718.67j,1391.6+718.67j,1391.6+718.67j
2017-11-03 03:40:00,1397.48+720.84j,1397.48+720.84j,1397.48+720.84j
2017-11-03 03:50:00,1404.67+723.02j,1404.67+723.02j,1404.67+723.02j
2017-11-03 04:00:00,1411.2+725.2j,1411.2+725.2j,1411.2+725.2j
2017-11-03 04:10:00,1408.59+723.02j,1408.59+723.02j,1408.59+723.02j
2017-11-03 04:20:00,1406.63+720.84j,1406.63+720.84j,1406.63+720.84j
2017-11-03 04:30:00,1404.67+718.67j,1404.67+718.67j,1404.67+718.67j
2017-11-03 04:40:00,1402.05+716.49j,1402.05+716.49j,1402.05+716.49j
2017-11-03 04:50:00,1400.09+714.31j,1400.09+714.31j,1400.09+714.31j
2017-11-03 05:00:00,1398.13+712.13j,1398.13+712.13j,1398.13+712.13j
2017-11-03 05:10:00,1411.2+707.78j,1411.2+707.78j,1411.2+707.78j
2017-11-03 05:20:00,1424.27+703.42j,1424.27+703.42j,1424.27+703.42j
2017-11-03 05:30:00,1437.33+699.07j,1437.33+699.07j,1437.33+699.07j
2017-11-03 05:40:00,1450.4+694.71j,1450.4+694.71j,1450.4+694.71j
2017-11-03 05:50:00,1463.47+690.36j,1463.47+690.36j,1463.47+690.36j
2017-11-03 06:00:00,1476.53+686j,1476.53+686j,1476.53+686j
2017-11-03 06:10:00,1471.96+682.73j,1471.96+682.73j,1471.96+682.73j
2017-11-03 06:20:00,1467.39+679.47j,1467.39+679.47j,1467.39+679.47j
2017-11-03 06:30:00,1463.47+676.2j,1463.47+676.2j,1463.47+676.2j
2017-11-03 06:40:00,1458.89+672.93j,1458.89+672.93j,1458.89+672.93j
2017-11-03 06:50:00,1454.32+669.67j,1454.32+669.67j,1454.32+669.67j
2017-11-03 07:00:00,1450.4+666.4j,1450.4+666.4j,1450.4+666.4j
2017-11-03 07:10:00,1400.09+666.4j,1400.09+666.4j,1400.09+666.4j
2017-11-03 07:20:00,1349.79+666.4j,1349.79+666.4j,1349.79+666.4j
2017-11-03 07:30:00,1300.13+666.4j,1300.13+666.4j,1300.13+666.4j
2017-11-03 07:40:00,1249.83+666.4j,1249.83+666.4j,1249.83+666.4j
2017-11-03 07:50:00,1199.52+666.4j,1199.52+666.4j,1199.52+666.4j
2017-11-03 08:00:00,1149.87+666.4j,1149.87+666.4j,1149.87+666.4j
2017-11-03 08:10:00,1179.92+653.33j,1179.92+653.33j,1179.92+653.33j
2017-11-03 08:20:00,1210.63+640.27j,1210.63+640.27j,1210.63+640.27j
2017-11-03 08:30:00,1241.33+627.2j,1241.33+627.2j,1241.33+627.2j
2017-11-03 08:40:00,1271.39+614.13j,1271.39+614.13j,1271.39+614.13j
2017-11-03 08:50:00,1302.09+601.07j,1302.09+601.07j,1302.09+601.07j
2017-11-03 09:00:00,1332.8+588j,1332.8+588j,1332.8+588j
2017-11-03 09:10:00,1300.79+573.85j,1300.79+573.85j,1300.79+573.85j
2017-11-03 09:20:00,1269.43+559.68j,1269.43+559.68j,1269.43+559.68j
2017-11-03 09:30:00,1238.07+545.53j,1238.07+545.53j,1238.07+545.53j
2017-11-03 09:40:00,1206.05+531.38j,1206.05+531.38j,1206.05+531.38j
2017-11-03 09:50:00,1174.69+517.22j,1174.69+517.22j,1174.69+517.22j
2017-11-03 10:00:00,1143.33+503.07j,1143.33+503.07j,1143.33+503.07j
2017-11-03 10:10:00,1153.13+499.8j,1153.13+499.8j,1153.13+499.8j
2017-11-03 10:20:00,1162.93+496.53j,1162.93+496.53j,1162.93+496.53j
2017-11-03 10:30:00,1172.73+493.27j,1172.73+493.27j,1172.73+493.27j
2017-11-03 10:40:00,1182.53+490j,1182.53+490j,1182.53+490j
2017-11-03 10:50:00,1192.33+486.73j,1192.33+486.73j,1192.33+486.73j
2017-11-03 11:00:00,1202.13+483.47j,1202.13+483.47j,1202.13+483.47j
2017-11-03 11:10:00,1196.25+488.92j,1196.25+488.92j,1196.25+488.92j
2017-11-03 11:20:00,1191.03+494.35j,1191.03+494.35j,1191.03+494.35j
2017-11-03 11:30:00,1185.8+499.8j,1185.8+499.8j,1185.8+499.8j
2017-11-03 11:40:00,1179.92+505.25j,1179.92+505.25j,1179.92+505.25j
2017-11-03 11:50:00,1174.69+510.68j,1174.69+510.68j,1174.69+510.68j
2017-11-03 12:00:00,1169.47+516.13j,1169.47+516.13j,1169.47+516.13j
2017-11-03 12:10:00,1176+513.96j,1176+513.96j,1176+513.96j
2017-11-03 12:20:00,1182.53+511.78j,1182.53+511.78j,1182.53+511.78j
2017-11-03 12:30:00,1189.07+509.6j,1189.07+509.6j,1189.07+509.6j
2017-11-03 12:40:00,1195.6+507.42j,1195.6+507.42j,1195.6+507.42j
2017-11-03 12:50:00,1202.13+505.24j,1202.13+505.24j,1202.13+505.24j
2017-11-03 13:00:00,1208.67+503.07j,1208.67+503.07j,1208.67+503.07j
2017-11-03 13:10:00,1236.76+506.33j,1236.76+506.33j,1236.76+506.33j
2017-11-03 13:20:00,1264.85+509.6j,1264.85+509.6j,1264.85+509.6j
2017-11-03 13:30:00,1293.6+512.87j,1293.6+512.87j,1293.6+512.87j
2017-11-03 13:40:00,1321.69+516.13j,1321.69+516.13j,1321.69+516.13j
2017-11-03 13:50:00,1349.79+519.4j,1349.79+519.4j,1349.79+519.4j
2017-11-03 14:00:00,1378.53+522.67j,1378.53+522.67j,1378.53+522.67j
2017-11-03 14:10:00,1377.23+518.31j,1377.23+518.31j,1377.23+518.31j
2017-11-03 14:20:00,1375.92+513.96j,1375.92+513.96j,1375.92+513.96j
2017-11-03 14:30:00,1375.27+509.6j,1375.27+509.6j,1375.27+509.6j
2017-11-03 14:40:00,1373.96+505.24j,1373.96+505.24j,1373.96+505.24j
2017-11-03 14:50:00,1372.65+500.89j,1372.65+500.89j,1372.65+500.89j
2017-11-03 15:00:00,1372+496.53j,1372+496.53j,1372+496.53j
2017-11-03 15:10:00,1373.96+504.16j,1373.96+504.16j,1373.96+504.16j
2017-11-03 15:20:00,1375.92+511.78j,1375.92+511.78j,1375.92+511.78j
2017-11-03 15:30:00,1378.53+519.4j,1378.53+519.4j,1378.53+519.4j
2017-11-03 15:40:00,1380.49+527.02j,1380.49+527.02j,1380.49+527.02j
2017-11-03 15:50:00,1382.45+534.64j,1382.45+534.64j,1382.45+534.64j
2017-11-03 16:00:00,1385.07+542.27j,1385.07+542.27j,1385.07+542.27j
2017-11-03 16:10:00,1405.32+542.27j,1405.32+542.27j,1405.32+542.27j
2017-11-03 16:20:00,1426.23+542.27j,1426.23+542.27j,1426.23+542.27j
2017-11-03 16:30:00,1447.13+542.27j,1447.13+542.27j,1447.13+542.27j
2017-11-03 16:40:00,1467.39+542.27j,1467.39+542.27j,1467.39+542.27j
2017-11-03 16:50:00,1488.29+542.27j,1488.29+542.27j,1488.29+542.27j
2017-11-03 17:00:00,1509.2+542.27j,1509.2+542.27j,1509.2+542.27j
2017-11-03 17:10:00,1489.6+540.08j,1489.6+540.08j,1489.6+540.08j
2017-11-03 17:20:00,1470+537.92j,1470+537.92j,1470+537.92j
2017-11-03 17:30:00,1450.4+535.73j,1450.4+535.73j,1450.4+535.73j
2017-11-03 17:40:00,1430.8+533.55j,1430.8+533.55j,1430.8+533.55j
2017-11-03 17:50:00,1411.2+531.38j,1411.2+531.38j,1411.2+531.38j
2017-11-03 18:00:00,1391.6+529.2j,1391.6+529.2j,1391.6+529.2j
2017-11-03 18:10:00,1393.56+522.67j,1393.56+522.67j,1393.56+522.67j
2017-11-03 18:20:00,1395.52+516.13j,1395.52+516.13j,1395.52+516.13j
2017-11-03 18:30:00,1398.13+509.6j,1398.13+509.6j,1398.13+509.6j
2017-11-03 18:40:00,1400.09+503.07j,1400.09+503.07j,1400.09+503.07j
2017-11-03 18:50:00,1402.05+496.53j,1402.05+496.53j,1402.05+496.53j
2017-11-03 19:00:00,1404.67+490j,1404.67+490j,1404.67+490j
2017-11-03 19:10:00,1426.23+501.98j,1426.23+501.98j,1426.23+501.98j
2017-11-03 19:20:00,1447.79+513.96j,1447.79+513.96j,1447.79+513.96j
2017-11-03 19:30:00,1470+525.93j,1470+525.93j,1470+525.93j
2017-11-03 19:40:00,1491.56+537.91j,1491.56+537.91j,1491.56+537.91j
2017-11-03 19:50:00,1513.12+549.89j,1513.12+549.89j,1513.12+549.89j
2017-11-03 20:00:00,1535.33+561.87j,1535.33+561.87j,1535.33+561.87j
2017-11-03 20:10:00,1633.33+581.47j,1633.33+581.47j,1633.33+581.47j
2017-11-03 20:20:00,1730.68+601.07j,1730.68+601.07j,1730.68+601.07j
2017-11-03 20:30:00,1829.33+620.67j,1829.33+620.67j,1829.33+620.67j
2017-11-03 20:40:00,1927.33+640.27j,1927.33+640.27j,1927.33+640.27j
2017-11-03 20:50:00,2024.68+659.87j,2024.68+659.87j,2024.68+659.87j
2017-11-03 21:00:00,2123.33+679.47j,2123.33+679.47j,2123.33+679.47j
2017-11-03 21:10:00,2059.96+667.48j,2059.96+667.48j,2059.96+667.48j
2017-11-03 21:20:00,1996.59+655.52j,1996.59+655.52j,1996.59+655.52j
2017-11-03 21:30:00,1933.87+643.53j,1933.87+643.53j,1933.87+643.53j
2017-11-03 21:40:00,1870.49+631.55j,1870.49+631.55j,1870.49+631.55j
2017-11-03 21:50:00,1807.12+619.58j,1807.12+619.58j,1807.12+619.58j
2017-11-03 22:00:00,1744.4+607.6j,1744.4+607.6j,1744.4+607.6j
2017-11-03 22:10:00,1741.79+621.76j,1741.79+621.76j,1741.79+621.76j
2017-11-03 22:20:00,1739.83+635.91j,1739.83+635.91j,1739.83+635.91j
2017-11-03 22:30:00,1737.87+650.07j,1737.87+650.07j,1737.87+650.07j
2017-11-03 22:40:00,1735.25+664.22j,1735.25+664.22j,1735.25+664.22j
2017-11-03 22:50:00,1733.29+678.38j,1733.29+678.38j,1733.29+678.38j
2017-11-03 23:00:00,1731.33+692.53j,1731.33+692.53j,1731.33+692.53j
2017-11-03 23:10:00,1738.52+706.68j,1738.52+706.68j,1738.52+706.68j
2017-11-03 23:20:00,1746.36+720.85j,1746.36+720.85j,1746.36+720.85j
2017-11-03 23:30:00,1754.2+735j,1754.2+735j,1754.2+735j
2017-11-03 23:40:00,1761.39+749.15j,1761.39+749.15j,1761.39+749.15j
