tempo,potencia_ativa_carga,potencia_reativa_carga,potencia_PV,custo_energia
142,303,132.5,0,0.47
143,297.3,133.003,0,0.47
144,291.6,133.497,0,0.47
145,286,134,0,0.47
146,274.8,127.5,0,0.47
147,263.6,121,0,0.47
148,252.5,114.5,0,0.47
149,241.3,108,0,0.47
150,230.1,101.5,0,0.47
151,219,95,0,0.47
152,218.5,96.333,0,0.47
153,218,97.667,0,0.47
154,217.5,99,0,0.47
155,217,100.333,0,0.47
156,216.5,101.667,0,0.47
157,216,103,0,0.47
158,215.5,103.667,0,0.47
159,214.9,104.333,0,0.47
160,214.5,105,0,0.47
161,214,105.667,0,0.47
162,213.4,106.333,0,0.47
163,213,107,0,0.47
164,215.5,109.333,0,0.47
165,218,111.667,0,0.47
166,220.5,114,0,0.47
167,223,116.333,0,0.47
168,225.5,118.667,0,0.47
169,228,121,0,0.47
170,228.1,120.667,0,0.47
171,228.3,120.333,0,0.47
172,228.5,120,0,0.47
173,228.6,119.667,0,0.47
174,228.8,119.333,0,0.47
175,229,119,0,0.47
176,229.3,118.334,0,0.47
177,229.6,117.666,0,0.47
178,230,117,0,0.47
179,230.3,116.334,0,0.47
180,230.6,115.666,0,0.47
181,231,115,0,0.47
182,230.9,114,0,0.47
183,231,113,0,0.47
184,231,112,0,0.47
185,230.9,111,0,0.47
186,231,110,0,0.47
187,231,109,0,0.47
188,217.6,106.834,0,0.47
189,204.3,104.666,0,0.47
190,191,102.5,2.2,0.47
191,177.6,100.334,7.7,0.47
192,164.3,98.166,12.4,0.47
193,151,96,17.1,0.47
194,155.5,95.5,21.3,0.47
195,159.9,95,23.7,0.47
196,164.5,94.5,30.2,0.47
197,169,94,34.4,0.47
198,173.4,93.5,38.2,0.47
199,178,93,42.6,0.47
200,182.8,93,43.8,0.47
201,187.6,93,50.8,0.47
202,192.5,93,54.7,0.47
203,197.3,93,58.4,0.47
204,202.1,93,61,0.47
205,207,93,65.2,0.47
206,205,92.833,68,0.47
207,202.9,92.667,69.3,0.47
208,201,92.5,74.2,0.47
209,199,92.333,76.8,0.47
210,196.9,92.167,79.1,0.47
211,195,92,81.2,0.47
212,195.8,92.667,83.2,0.47
213,196.6,93.333,82.7,0.47
214,197.5,94,86.3,0.47
215,198.3,94.667,87.7,0.47
216,199.1,95.333,88.6,0.47
217,200,96,89.6,0.47
218,197.3,96.5,90.3,0.47
219,194.6,97,90.7,0.47
220,192,97.5,90.8,0.47
221,189.3,98,90.9,0.47
222,186.6,98.5,90.7,0.47
223,184,99,90.1,0.47
224,183.6,98.5,89.5,0.47
225,183.3,98,88.5,0.47
226,183,97.5,87.3,0.47
227,182.6,97,86,0.47
228,182.3,96.5,84.4,0.47
229,182,96,82.6,0.47
230,182.3,95.667,80.4,0.47
231,182.6,95.333,78.3,0.47
232,183,95,75.9,0.47
233,183.3,94.667,73.2,0.47
234,183.6,94.333,70.7,0.47
235,184,94,67.6,0.47
236,188,92.667,63.6,0.47
237,192,91.333,61.1,0.47
238,196,90,57.6,0.47
239,200,88.667,54,0.47
240,204,87.333,50.1,0.47
241,208,86,46,0.47
242,205.6,87.667,42.1,0.47
243,203.3,89.333,14.4,0.47
244,201,91,29.7,0.47
245,198.6,92.667,28.9,0.47
246,196.3,94.333,24.5,0.47
247,194,96,18.6,0.65
248,193.6,96.333,15.5,0.65
249,193.3,96.667,5.7,0.65
250,193,97,3,0.65
251,192.6,97.333,1.7,0.65
252,192.3,97.667,0,0.65
253,192,98,0,1
254,198.3,97.667,0,1
255,204.6,97.333,0,1
256,211,97,0,1
257,217.3,96.667,0,1
258,223.6,96.333,0,1
259,230,96,0,1
260,234.5,97.167,0,1
261,239,98.333,0,1
262,243.5,99.5,0,1
263,248,100.667,0,1
264,252.5,101.833,0,1
265,257,103,0,1
266,274.1,107.333,0,1
267,291.3,111.667,0,1
268,308.5,116,0,1
269,325.6,120.333,0,1
270,342.8,124.667,0,1
271,360,129,0,0.65
272,356.1,128.167,0,0.65
273,352.3,127.333,0,0.65
