tempo,potencia_ativa_prevista,potencia_reativa_prevista,potencia_PV_prevista,custo_energia,PV_ref
100,252.85593,187.35692,21.626356,0.47,20.000138187408446
101,251.00276,187.49088,18.982712,0.47,16.831375551223754
102,249.81087,187.98323,15.758981,0.65,13.774593019485474
103,248.6468,187.99417,11.545141,0.65,11.010749864578248
104,247.20772,188.55309,8.627822,0.65,8.48190770149231
105,246.33711,188.7224,5.9845667,0.65,6.319272089004516
106,245.69357,188.94934,2.2934985,0.65,4.421000909805298
107,245.67108,188.97108,0.0,0.65,2.845102834701538
108,246.11322,189.30708,0.0,1,1.6905887126922607
109,247.64412,189.48767,0.0,1,0.8278065204620362
110,249.92339,190.48596,0.0,1,0.22934985160827637
111,253.3749,189.98741,0.0,1,0.0
112,257.6217,190.46379,0.0,1,0.0
113,263.02652,189.6029,0.0,1,0.0
114,269.511,189.8327,0.0,1,0.0
115,277.05212,189.70592,0.0,1,0.0
116,285.14084,189.27332,0.0,1,0.0
117,294.01318,188.84549,0.0,1,0.0
118,304.04797,187.91817,0.0,1,0.0
119,314.2127,187.60796,0.0,1,0.0
120,324.37872,186.76505,0.0,1,0.0
121,334.74185,185.93765,0.0,1,0.0
122,344.61514,184.81093,0.0,1,0.0
123,353.77057,183.6594,0.0,1,0.0
124,362.00714,182.59962,0.0,1,0.0
125,369.23575,181.41954,0.0,1,0.0
126,375.51028,180.20772,0.0,0.65,0.0
127,380.67712,178.95001,0.0,0.65,0.0
128,384.28693,177.73042,0.0,0.65,0.0
129,386.6735,176.58118,0.0,0.65,0.0
130,387.78458,175.45598,0.0,0.65,0.0
131,387.90958,174.38896,0.0,0.65,0.0
132,386.6847,173.47371,0.0,0.47,0.0
133,384.33292,172.60303,0.0,0.47,0.0
134,380.65652,171.99744,0.0,0.47,0.0
135,376.49454,171.68735,0.0,0.47,0.0
136,371.41867,171.25067,0.0,0.47,0.0
137,365.9726,172.04517,0.0,0.47,0.0
138,360.22455,170.82773,0.0,0.47,0.0
139,354.3976,170.64731,0.0,0.47,0.0
140,348.60062,170.47665,0.0,0.47,0.0
141,343.06284,170.10373,0.0,0.47,0.0
142,337.67798,169.58209,0.0,0.47,0.0
143,332.75937,168.7642,0.0,0.47,0.0
