Bateria_descarregar,Bateria_carregar,potencia_REDE,SoC,PV_ref,custo_energia,Q_rede,Q_bat_PU,P_bat_PU,V_PCC
0.0,4.5258239,117.62582,0.79870688,80.11510025024415,0.47,-58.927275,0.7557091,-0.018103296,1.0
0.0,0.0,106.9,0.8,83.95347473144533,0.47,-58.927275,0.7523891,0.0,1.0
0.0,0.0,101.0,0.8,88.07426345825195,0.47,-58.927275,0.7490411,0.0,1.0
0.0,0.0,101.7,0.8,92.02243225097656,0.47,-58.927275,0.7457091,0.0,1.0
0.0,0.0,99.0,0.8,94.83410171508787,0.47,-58.927275,0.7423771,0.0,1.0
0.0,0.0,96.5,0.8,97.24873809814451,0.47,-58.927275,0.7390411,0.0,1.0
0.0,0.0,93.6,0.8,99.14702468872068,0.47,-58.927275,0.7357091,0.0,1.0
0.0,0.0,94.1,0.8,101.28349731445313,0.47,-58.927275,0.7410451,0.0,1.0
0.0,0.0,94.8,0.8,103.17042266845705,0.47,-58.927275,0.7463731,0.0,1.0
0.0,0.0,95.6,0.8,104.79527938842777,0.47,-58.927275,0.7517091,0.0,1.0
0.0,0.0,96.9,0.8,106.18452087402343,0.47,-58.927275,0.7570571,0.0,1.0
0.0,0.0,98.8,0.8,107.27330947875978,0.47,-58.927275,0.7623611,0.0,1.0
0.0,0.0,100.6,0.8,108.1690132141113,0.47,-58.927275,0.7677091,0.0,1.0
0.0,0.0,100.6,0.8,108.92754028320313,0.47,-58.927275,0.8056971,0.0,1.0
0.0,0.0,101.9,0.8,109.47380035400391,0.47,-58.927275,0.8437211,0.0,1.0
0.0,0.0,103.1,0.8,108.09248916625977,0.47,-58.927275,0.8817091,0.0,1.0
0.0,0.0,104.4,0.8,108.12038681030272,0.47,-58.927275,0.9196971,0.0,1.0
0.0,0.0,106.2,0.8,107.92339462280269,0.47,-58.927275,0.9577211,0.0,1.0
0.0,0.0,107.3,0.8,107.80930847167969,0.47,-57.5,0.99,0.0,0.99989101
0.0,0.0,107.3,0.8,107.58055923461912,0.47,-58.927275,0.9750571,0.0,1.0
0.0,0.0,106.6,0.8,107.22789474487301,0.47,-58.927275,0.9543611,0.0,1.0
0.0,0.0,107.5,0.8,106.69832717895504,0.47,-58.927275,0.9337091,0.0,1.0
12.588732,0.0,112.91127,0.8,103.68873153686519,0.47,-58.927275,0.9130571,0.050354926,1.0
61.310219,0.0,122.98978,0.79609717,92.81021926879879,0.47,-58.927275,0.8923611,0.24524088,1.0
11.310219,0.0,95.289781,0.7770894,91.98367919921871,0.47,-58.927275,0.8717091,0.045240876,1.0
0.0,12.785887,123.58589,0.77358294,90.71411285400387,0.47,-58.927275,0.8917211,-0.051143549,1.0
0.0,9.790358,122.79036,0.77723612,90.80964202880857,0.47,-58.927275,0.9116971,-0.039161432,1.0
0.0,1.1524986,116.6525,0.78003342,96.347501373291,0.47,-58.927275,0.9317091,-0.0046099945,1.0
0.0,0.32703323,118.72703,0.78036271,93.57296676635738,0.47,-58.927275,0.9517211,-0.0013081329,1.0
0.0,0.23784271,120.93784,0.78045615,90.66215728759764,0.47,-58.927275,0.9716971,-0.00095137085,1.0
0.0,7.877924,122.47792,0.78052411,88.52207595825193,0.47,-58.5,0.99,-0.031511696,0.99996737
40.742951,0.0,135.85705,0.78277499,78.94295104980469,0.47,-58.927275,0.9863771,0.1629718,1.0
0.0,16.407155,142.30715,0.77014362,76.29284545898437,0.47,-58.927275,0.9810411,-0.065628618,1.0
41.728081,0.0,157.67192,0.77483147,64.82808135986329,0.47,-58.927275,0.9757091,0.16691233,1.0
11.897945,0.0,171.40205,0.76189468,54.897945404052756,0.47,-58.927275,0.9703771,0.047591782,1.0
0.0,23.141348,174.04135,0.758206,56.058651733398456,0.47,-58.927275,0.9650411,-0.092565393,1.0
8.1480173,0.0,186.75198,0.76481795,47.248017349243185,0.47,-58.927275,0.9597091,0.032592069,1.0
0.0,2.6592801,189.85928,0.76229185,47.240719909667966,0.47,-58.927275,0.9616971,-0.01063712,1.0
21.007807,0.0,198.59219,0.76305166,41.707807197570794,0.47,-58.927275,0.9637211,0.084031229,1.0
13.879919,0.0,211.22008,0.75653869,32.27991863250732,0.47,-58.927275,0.9657091,0.055519675,1.0
0.0,21.328842,214.02884,0.75223556,32.57115806579589,0.47,-58.927275,0.9676971,-0.085315368,1.0
0.0,17.849136,217.84914,0.75832963,31.950864105224603,0.65,-58.927275,0.9697211,-0.071396544,1.0
18.575899,0.0,224.1241,0.76342949,28.875899162292484,0.65,-58.927275,0.9717091,0.074303597,1.0
17.465596,0.0,224.2344,0.75767048,25.06559616088868,0.65,-58.927275,0.9690571,0.069862385,1.0
0.0,8.8790225,224.57902,0.75225569,21.02097745895386,0.65,-58.927275,0.9663611,-0.03551609,1.0
0.0,4.2481868,225.54819,0.7547926,16.451813220977776,0.65,-58.927275,0.9637091,-0.016992747,1.0
4.3086176,0.0,224.19138,0.75600639,14.10861759185791,0.65,-58.927275,0.9610571,0.01723447,1.0
4.2498876,0.0,223.05011,0.75467061,11.549887604713446,1.0,-58.927275,0.9583611,0.01699955,1.0
3.9941652,0.0,224.60583,0.75335303,6.394165165424347,1.0,-58.927275,0.9557091,0.015976661,1.0
1.8131835,0.0,230.18682,0.75211474,2.813183450698855,1.0,-58.927275,0.9550411,0.0072527338,1.0
1.07,0.0,233.93,0.75155261,1.070000000000001,1.0,-58.927275,0.9543771,0.00428,1.0
0.34,0.0,236.66,0.75122088,0.340000000000001,1.0,-58.927275,0.9537091,0.00136,1.0
0.1,0.0,238.9,0.75111547,0.0999999999999996,1.0,-58.927275,0.9530411,0.0004,1.0
0.0,50.0,291.0,0.75108447,0.0,1.0,-58.927275,0.9523771,-0.2,1.0
0.0,56.99,299.99,0.76537047,0.0,1.0,-58.927275,0.9517091,-0.22796,1.0
0.0,46.09,299.99,0.78165365,0.0,1.0,-58.927275,0.9583771,-0.18436,1.0
0.0,18.120945,283.12095,0.79482248,0.0,1.0,-58.927275,0.9650411,-0.072483781,1.0
0.0,0.0,276.0,0.8,0.0,1.0,-58.927275,0.9717091,0.0,1.0
0.0,0.0,286.9,0.8,0.0,1.0,-58.927275,0.9783771,0.0,1.0
0.0,0.0,298.0,0.8,0.0,1.0,-58.927275,0.9850411,0.0,1.0
9.01,0.0,299.99,0.8,0.0,1.0,-58.5,0.99,0.03604,0.99996737
28.31,0.0,299.99,0.79720667,0.0,1.0,-57.997,0.99,0.11324,0.99992896
47.61,0.0,299.99,0.78842983,0.0,1.0,-55.485878,0.98193151,0.19044,0.9997372
67.01,0.0,299.99,0.77366949,0.0,1.0,-50.692904,0.96477161,0.26804,0.99937118
86.31,0.0,299.99,0.75289464,0.0,1.0,-44.09639,0.94039756,0.34524,0.99886743
105.61,0.0,299.99,0.7261363,0.0,0.65,-35.2769,0.9070956,0.42244,0.99819393
125.01,0.0,299.99,0.69339445,0.0,0.65,-24.728168,0.86691267,0.50004,0.99738837
119.31,0.0,299.99,0.65463809,0.0,0.65,-27.645744,0.87991498,0.47724,0.99761118
113.61,0.0,299.99,0.61764888,0.0,0.65,-30.56232,0.89291728,0.45444,0.9978339
108.01,0.0,299.99,0.58242682,0.0,0.65,-32.738606,0.90295442,0.43204,0.99800009
102.31,0.0,299.99,0.54894091,0.0,0.65,-34.864429,0.91278972,0.40924,0.99816243
96.61,0.0,299.99,0.51722215,0.0,0.47,-36.989253,0.92262501,0.38644,0.9983247
91.01,0.0,299.99,0.48727053,0.0,0.47,-39.071939,0.93228776,0.36404,0.99848374
81.91,0.0,299.99,0.45905506,0.0,0.47,-44.387224,0.9462169,0.32764,0.99888964
73.01,0.0,299.99,0.43366083,0.0,0.47,-48.991979,0.95729992,0.29204,0.99924129
64.01,0.0,299.99,0.41102583,0.0,0.47,-53.626866,0.96850746,0.25604,0.99959523
54.91,0.0,299.99,0.39118106,0.0,0.47,-57.34098,0.97603192,0.21964,0.99987886
46.01,0.0,299.99,0.37415753,0.0,0.47,-58.927275,0.9750411,0.18404,1.0
37.01,0.0,299.99,0.35989323,0.0,0.47,-58.927275,0.9677091,0.14804,1.0
34.11,0.0,299.99,0.34841917,0.0,0.47,-58.927275,0.9763891,0.13644,1.0
31.31,0.0,299.99,0.33784418,0.0,0.47,-58.927275,0.9850291,0.12524,1.0
28.51,0.0,299.99,0.32813726,0.0,0.47,-58.0,0.99,0.11404,0.99992919
25.61,0.0,299.99,0.31929842,0.0,0.47,-55.83,0.99,0.10244,0.99976348
22.81,0.0,299.99,0.31135865,0.0,0.47,-53.67,0.99,0.09124,0.99959853
