Pot_descarga_bateria,Pot_carga_bateria,potencia_demandada_REDE,SOC,P_ref,custo_energia,Q_rede,Q_bat_PU,P_bat_PU,V_PCC
0.24879844,0.0,178.87542,0.69682007,58.9211784362793,0.47,-58.927275,0.91741422,0.00099519375,1.0
0.46704778,0.0,178.41936,0.69674293,60.559317779541026,0.47,-58.927275,0.91923722,0.0018681911,1.0
0.4006223,0.0,177.93269,0.69659813,62.09818229675293,0.47,-58.927275,0.9235597,0.0016024892,1.0
0.0,0.032911552,177.87128,0.69647393,63.48712844848633,0.47,-58.927275,0.92711058,-0.00013164621,1.0
0.20933289,0.0,178.72637,0.69648333,64.75683288574218,0.47,-58.927275,0.93093706,0.00083733154,1.0
0.12133998,0.0,178.36491,0.69641844,65.85531997680664,0.47,-58.927275,0.9361219,0.00048535991,1.0
0.0,0.041705614,178.89047,0.69638082,66.95021438598633,0.47,-58.927275,0.94025774,-0.00016682246,1.0
0.07234175,0.0,179.18409,0.69639273,67.91737174987793,0.47,-58.927275,0.9450177,0.000289367,1.0
0.0,0.087447703,179.44717,0.69637031,68.71679229736328,0.47,-58.927275,0.9500507,-0.00034979081,1.0
0.0,0.25294266,179.60511,0.69639529,69.41047134399415,0.47,-58.927275,0.95588342,-0.0010117706,1.0
0.4084635,0.0,179.68232,0.69646756,70.06571350097656,0.47,-58.927275,0.95980322,0.001633854,1.0
0.0,0.44991532,179.99111,0.69634093,70.59129867553709,0.47,-58.927275,0.96667542,-0.0017996613,1.0
0.0,0.37886892,179.15056,0.69646948,70.99026107788086,0.47,-58.927275,0.97007506,-0.0015154757,1.0
0.0,0.29246055,178.68204,0.69657773,71.22178344726562,0.47,-58.927275,0.97466718,-0.0011698422,1.0
0.0,0.22012069,177.91605,0.69666129,71.26416931152343,0.47,-58.927275,0.98239898,-0.00088048275,1.0
0.0,1.0600671,177.09746,0.69672418,71.22633285522461,0.47,-58.927275,0.98316822,-0.0042402686,1.0
0.0,1.3025628,176.4174,0.69702707,70.94520721435545,0.47,-58.927275,0.98731426,-0.0052102511,1.0
0.0,1.3428362,175.53571,0.69739923,70.4918197631836,0.47,-58.87393,0.99,-0.0053713449,0.99999593
0.0,1.2379575,174.9635,0.69778291,69.88150253295899,0.47,-58.09393,0.99,-0.0049518299,0.99993636
0.0,0.9766022,174.10112,0.69813662,69.11066780090331,0.47,-57.55362,0.99,-0.0039064088,0.9998951
0.0,1.2128968,174.29166,0.69841565,68.06598815917968,0.47,-56.92218,0.99,-0.0048515874,0.99984688
