#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-10-18 00:00:00,6781.6+3436.93j,6781.6+3436.93j,6781.6+3436.93j
2017-10-18 00:10:00,6691.64+3421.48j,6691.64+3421.48j,6691.64+3421.48j
2017-10-18 00:20:00,6603.99+3406.25j,6603.99+3406.25j,6603.99+3406.25j
2017-10-18 00:30:00,6516.33+3390.8j,6516.33+3390.8j,6516.33+3390.8j
2017-10-18 00:40:00,6426.37+3375.35j,6426.37+3375.35j,6426.37+3375.35j
2017-10-18 00:50:00,6338.72+3360.12j,6338.72+3360.12j,6338.72+3360.12j
2017-10-18 01:00:00,6251.07+3344.67j,6251.07+3344.67j,6251.07+3344.67j
2017-10-18 01:10:00,6191.09+3363.81j,6191.09+3363.81j,6191.09+3363.81j
2017-10-18 01:20:00,6135.73+3383.19j,6135.73+3383.19j,6135.73+3383.19j
2017-10-18 01:30:00,6078.07+3402.33j,6078.07+3402.33j,6078.07+3402.33j
2017-10-18 01:40:00,6018.09+3421.48j,6018.09+3421.48j,6018.09+3421.48j
2017-10-18 01:50:00,5962.73+3440.85j,5962.73+3440.85j,5962.73+3440.85j
2017-10-18 02:00:00,5905.07+3460j,5905.07+3460j,5905.07+3460j
2017-10-18 02:10:00,5854.32+3460j,5854.32+3460j,5854.32+3460j
2017-10-18 02:20:00,5803.57+3460j,5803.57+3460j,5803.57+3460j
2017-10-18 02:30:00,5755.13+3460j,5755.13+3460j,5755.13+3460j
2017-10-18 02:40:00,5704.39+3460j,5704.39+3460j,5704.39+3460j
2017-10-18 02:50:00,5653.64+3460j,5653.64+3460j,5653.64+3460j
2017-10-18 03:00:00,5605.2+3460j,5605.2+3460j,5605.2+3460j
2017-10-18 03:10:00,5607.51+3456.08j,5607.51+3456.08j,5607.51+3456.08j
2017-10-18 03:20:00,5612.12+3452.39j,5612.12+3452.39j,5612.12+3452.39j
2017-10-18 03:30:00,5616.73+3448.47j,5616.73+3448.47j,5616.73+3448.47j
2017-10-18 03:40:00,5619.04+3444.55j,5619.04+3444.55j,5619.04+3444.55j
2017-10-18 03:50:00,5623.65+3440.85j,5623.65+3440.85j,5623.65+3440.85j
2017-10-18 04:00:00,5628.27+3436.93j,5628.27+3436.93j,5628.27+3436.93j
2017-10-18 04:10:00,5628.27+3440.85j,5628.27+3440.85j,5628.27+3440.85j
2017-10-18 04:20:00,5625.96+3444.55j,5625.96+3444.55j,5625.96+3444.55j
2017-10-18 04:30:00,5628.27+3448.47j,5628.27+3448.47j,5628.27+3448.47j
2017-10-18 04:40:00,5628.27+3452.39j,5628.27+3452.39j,5628.27+3452.39j
2017-10-18 04:50:00,5625.96+3456.08j,5625.96+3456.08j,5625.96+3456.08j
2017-10-18 05:00:00,5628.27+3460j,5628.27+3460j,5628.27+3460j
2017-10-18 05:10:00,5658.25+3456.08j,5658.25+3456.08j,5658.25+3456.08j
2017-10-18 05:20:00,5688.24+3452.39j,5688.24+3452.39j,5688.24+3452.39j
2017-10-18 05:30:00,5720.53+3448.47j,5720.53+3448.47j,5720.53+3448.47j
2017-10-18 05:40:00,5750.52+3444.55j,5750.52+3444.55j,5750.52+3444.55j
2017-10-18 05:50:00,5780.51+3440.85j,5780.51+3440.85j,5780.51+3440.85j
2017-10-18 06:00:00,5812.8+3436.93j,5812.8+3436.93j,5812.8+3436.93j
2017-10-18 06:10:00,5870.47+3379.2j,5870.47+3379.2j,5870.47+3379.2j
2017-10-18 06:20:00,5925.83+3321.67j,5925.83+3321.67j,5925.83+3321.67j
2017-10-18 06:30:00,5985.8+3263.93j,5985.8+3263.93j,5985.8+3263.93j
2017-10-18 06:40:00,6043.47+3206.2j,6043.47+3206.2j,6043.47+3206.2j
2017-10-18 06:50:00,6098.83+3148.67j,6098.83+3148.67j,6098.83+3148.67j
2017-10-18 07:00:00,6158.8+3090.93j,6158.8+3090.93j,6158.8+3090.93j
2017-10-18 07:10:00,5861.24+3033.27j,5861.24+3033.27j,5861.24+3033.27j
2017-10-18 07:20:00,5565.99+2975.6j,5565.99+2975.6j,5565.99+2975.6j
2017-10-18 07:30:00,5270.73+2917.93j,5270.73+2917.93j,5270.73+2917.93j
2017-10-18 07:40:00,4973.17+2860.27j,4973.17+2860.27j,4973.17+2860.27j
2017-10-18 07:50:00,4677.92+2802.6j,4677.92+2802.6j,4677.92+2802.6j
2017-10-18 08:00:00,4382.67+2744.93j,4382.67+2744.93j,4382.67+2744.93j
2017-10-18 08:10:00,4465.71+2714.19j,4465.71+2714.19j,4465.71+2714.19j
2017-10-18 08:20:00,4551.05+2683.41j,4551.05+2683.41j,4551.05+2683.41j
2017-10-18 08:30:00,4636.4+2652.67j,4636.4+2652.67j,4636.4+2652.67j
2017-10-18 08:40:00,4719.44+2621.92j,4719.44+2621.92j,4719.44+2621.92j
2017-10-18 08:50:00,4804.79+2591.15j,4804.79+2591.15j,4804.79+2591.15j
2017-10-18 09:00:00,4890.13+2560.4j,4890.13+2560.4j,4890.13+2560.4j
2017-10-18 09:10:00,4834.77+2633.45j,4834.77+2633.45j,4834.77+2633.45j
2017-10-18 09:20:00,4781.72+2706.48j,4781.72+2706.48j,4781.72+2706.48j
2017-10-18 09:30:00,4728.67+2779.53j,4728.67+2779.53j,4728.67+2779.53j
2017-10-18 09:40:00,4673.31+2852.59j,4673.31+2852.59j,4673.31+2852.59j
2017-10-18 09:50:00,4620.25+2925.61j,4620.25+2925.61j,4620.25+2925.61j
2017-10-18 10:00:00,4567.2+2998.67j,4567.2+2998.67j,4567.2+2998.67j
2017-10-18 10:10:00,4557.97+2979.52j,4557.97+2979.52j,4557.97+2979.52j
2017-10-18 10:20:00,4551.05+2960.21j,4551.05+2960.21j,4551.05+2960.21j
2017-10-18 10:30:00,4544.13+2941j,4544.13+2941j,4544.13+2941j
2017-10-18 10:40:00,4534.91+2921.79j,4534.91+2921.79j,4534.91+2921.79j
2017-10-18 10:50:00,4527.99+2902.55j,4527.99+2902.55j,4527.99+2902.55j
2017-10-18 11:00:00,4521.07+2883.33j,4521.07+2883.33j,4521.07+2883.33j
2017-10-18 11:10:00,4581.04+2914.1j,4581.04+2914.1j,4581.04+2914.1j
2017-10-18 11:20:00,4643.32+2944.83j,4643.32+2944.83j,4643.32+2944.83j
2017-10-18 11:30:00,4705.6+2975.6j,4705.6+2975.6j,4705.6+2975.6j
2017-10-18 11:40:00,4765.57+3006.44j,4765.57+3006.44j,4765.57+3006.44j
2017-10-18 11:50:00,4827.85+3037.03j,4827.85+3037.03j,4827.85+3037.03j
2017-10-18 12:00:00,4890.13+3067.87j,4890.13+3067.87j,4890.13+3067.87j
2017-10-18 12:10:00,4920.12+3286.93j,4920.12+3286.93j,4920.12+3286.93j
2017-10-18 12:20:00,4950.11+3506.2j,4950.11+3506.2j,4950.11+3506.2j
2017-10-18 12:30:00,4982.4+3725.27j,4982.4+3725.27j,4982.4+3725.27j
2017-10-18 12:40:00,5012.39+3944.33j,5012.39+3944.33j,5012.39+3944.33j
2017-10-18 12:50:00,5042.37+4163.6j,5042.37+4163.6j,5042.37+4163.6j
2017-10-18 13:00:00,5074.67+4382.67j,5074.67+4382.67j,5074.67+4382.67j
2017-10-18 13:10:00,5053.91+4263.57j,5053.91+4263.57j,5053.91+4263.57j
2017-10-18 13:20:00,5035.45+4144.23j,5035.45+4144.23j,5035.45+4144.23j
2017-10-18 13:30:00,5017+4025.13j,5017+4025.13j,5017+4025.13j
2017-10-18 13:40:00,4996.24+3906.04j,4996.24+3906.04j,4996.24+3906.04j
2017-10-18 13:50:00,4977.79+3786.69j,4977.79+3786.69j,4977.79+3786.69j
2017-10-18 14:00:00,4959.33+3667.6j,4959.33+3667.6j,4959.33+3667.6j
2017-10-18 14:10:00,4943.19+3783j,4943.19+3783j,4943.19+3783j
2017-10-18 14:20:00,4927.04+3898.2j,4927.04+3898.2j,4927.04+3898.2j
2017-10-18 14:30:00,4913.2+4013.6j,4913.2+4013.6j,4913.2+4013.6j
2017-10-18 14:40:00,4897.05+4129j,4897.05+4129j,4897.05+4129j
2017-10-18 14:50:00,4880.91+4244.2j,4880.91+4244.2j,4880.91+4244.2j
