#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-10-18 00:00:00,744.8+377.47j,744.8+377.47j,744.8+377.47j
2017-10-18 00:10:00,734.92+375.77j,734.92+375.77j,734.92+375.77j
2017-10-18 00:20:00,725.29+374.1j,725.29+374.1j,725.29+374.1j
2017-10-18 00:30:00,715.67+372.4j,715.67+372.4j,715.67+372.4j
2017-10-18 00:40:00,705.79+370.7j,705.79+370.7j,705.79+370.7j
2017-10-18 00:50:00,696.16+369.03j,696.16+369.03j,696.16+369.03j
2017-10-18 01:00:00,686.53+367.33j,686.53+367.33j,686.53+367.33j
2017-10-18 01:10:00,679.95+369.44j,679.95+369.44j,679.95+369.44j
2017-10-18 01:20:00,673.87+371.56j,673.87+371.56j,673.87+371.56j
2017-10-18 01:30:00,667.53+373.67j,667.53+373.67j,667.53+373.67j
2017-10-18 01:40:00,660.95+375.77j,660.95+375.77j,660.95+375.77j
2017-10-18 01:50:00,654.87+377.9j,654.87+377.9j,654.87+377.9j
2017-10-18 02:00:00,648.53+380j,648.53+380j,648.53+380j
2017-10-18 02:10:00,642.96+380j,642.96+380j,642.96+380j
2017-10-18 02:20:00,637.39+380j,637.39+380j,637.39+380j
2017-10-18 02:30:00,632.07+380j,632.07+380j,632.07+380j
2017-10-18 02:40:00,626.49+380j,626.49+380j,626.49+380j
2017-10-18 02:50:00,620.92+380j,620.92+380j,620.92+380j
2017-10-18 03:00:00,615.6+380j,615.6+380j,615.6+380j
2017-10-18 03:10:00,615.85+379.57j,615.85+379.57j,615.85+379.57j
2017-10-18 03:20:00,616.36+379.16j,616.36+379.16j,616.36+379.16j
2017-10-18 03:30:00,616.87+378.73j,616.87+378.73j,616.87+378.73j
2017-10-18 03:40:00,617.12+378.3j,617.12+378.3j,617.12+378.3j
2017-10-18 03:50:00,617.63+377.9j,617.63+377.9j,617.63+377.9j
2017-10-18 04:00:00,618.13+377.47j,618.13+377.47j,618.13+377.47j
2017-10-18 04:10:00,618.13+377.9j,618.13+377.9j,618.13+377.9j
2017-10-18 04:20:00,617.88+378.3j,617.88+378.3j,617.88+378.3j
2017-10-18 04:30:00,618.13+378.73j,618.13+378.73j,618.13+378.73j
2017-10-18 04:40:00,618.13+379.16j,618.13+379.16j,618.13+379.16j
2017-10-18 04:50:00,617.88+379.57j,617.88+379.57j,617.88+379.57j
2017-10-18 05:00:00,618.13+380j,618.13+380j,618.13+380j
2017-10-18 05:10:00,621.43+379.57j,621.43+379.57j,621.43+379.57j
2017-10-18 05:20:00,624.72+379.16j,624.72+379.16j,624.72+379.16j
2017-10-18 05:30:00,628.27+378.73j,628.27+378.73j,628.27+378.73j
2017-10-18 05:40:00,631.56+378.3j,631.56+378.3j,631.56+378.3j
