#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-10-18 00:00:00,1127+571.17j,1127+571.17j,1127+571.17j
2017-10-18 00:10:00,1112.05+568.6j,1112.05+568.6j,1112.05+568.6j
2017-10-18 00:20:00,1097.48+566.07j,1097.48+566.07j,1097.48+566.07j
2017-10-18 00:30:00,1082.92+563.5j,1082.92+563.5j,1082.92+563.5j
2017-10-18 00:40:00,1067.97+560.93j,1067.97+560.93j,1067.97+560.93j
2017-10-18 00:50:00,1053.4+558.4j,1053.4+558.4j,1053.4+558.4j
2017-10-18 01:00:00,1038.83+555.83j,1038.83+555.83j,1038.83+555.83j
2017-10-18 01:10:00,1028.87+559.02j,1028.87+559.02j,1028.87+559.02j
2017-10-18 01:20:00,1019.67+562.24j,1019.67+562.24j,1019.67+562.24j
2017-10-18 01:30:00,1010.08+565.42j,1010.08+565.42j,1010.08+565.42j
2017-10-18 01:40:00,1000.12+568.6j,1000.12+568.6j,1000.12+568.6j
2017-10-18 01:50:00,990.92+571.82j,990.92+571.82j,990.92+571.82j
2017-10-18 02:00:00,981.33+575j,981.33+575j,981.33+575j
2017-10-18 02:10:00,972.9+575j,972.9+575j,972.9+575j
2017-10-18 02:20:00,964.47+575j,964.47+575j,964.47+575j
2017-10-18 02:30:00,956.42+575j,956.42+575j,956.42+575j
2017-10-18 02:40:00,947.98+575j,947.98+575j,947.98+575j
2017-10-18 02:50:00,939.55+575j,939.55+575j,939.55+575j
2017-10-18 03:00:00,931.5+575j,931.5+575j,931.5+575j
2017-10-18 03:10:00,931.88+574.35j,931.88+574.35j,931.88+574.35j
2017-10-18 03:20:00,932.65+573.74j,932.65+573.74j,932.65+573.74j
2017-10-18 03:30:00,933.42+573.08j,933.42+573.08j,933.42+573.08j
2017-10-18 03:40:00,933.8+572.43j,933.8+572.43j,933.8+572.43j
2017-10-18 03:50:00,934.57+571.82j,934.57+571.82j,934.57+571.82j
2017-10-18 04:00:00,935.33+571.17j,935.33+571.17j,935.33+571.17j
2017-10-18 04:10:00,935.33+571.82j,935.33+571.82j,935.33+571.82j
2017-10-18 04:20:00,934.95+572.43j,934.95+572.43j,934.95+572.43j
2017-10-18 04:30:00,935.33+573.08j,935.33+573.08j,935.33+573.08j
2017-10-18 04:40:00,935.33+573.74j,935.33+573.74j,935.33+573.74j
2017-10-18 04:50:00,934.95+574.35j,934.95+574.35j,934.95+574.35j
2017-10-18 05:00:00,935.33+575j,935.33+575j,935.33+575j
2017-10-18 05:10:00,940.32+574.35j,940.32+574.35j,940.32+574.35j
2017-10-18 05:20:00,945.3+573.74j,945.3+573.74j,945.3+573.74j
2017-10-18 05:30:00,950.67+573.08j,950.67+573.08j,950.67+573.08j
2017-10-18 05:40:00,955.65+572.43j,955.65+572.43j,955.65+572.43j
2017-10-18 05:50:00,960.63+571.82j,960.63+571.82j,960.63+571.82j
2017-10-18 06:00:00,966+571.17j,966+571.17j,966+571.17j
2017-10-18 06:10:00,975.58+561.57j,975.58+561.57j,975.58+561.57j
2017-10-18 06:20:00,984.78+552.01j,984.78+552.01j,984.78+552.01j
2017-10-18 06:30:00,994.75+542.42j,994.75+542.42j,994.75+542.42j
2017-10-18 06:40:00,1004.33+532.82j,1004.33+532.82j,1004.33+532.82j
2017-10-18 06:50:00,1013.53+523.26j,1013.53+523.26j,1013.53+523.26j
2017-10-18 07:00:00,1023.5+513.67j,1023.5+513.67j,1023.5+513.67j
2017-10-18 07:10:00,974.05+504.08j,974.05+504.08j,974.05+504.08j
2017-10-18 07:20:00,924.98+494.5j,924.98+494.5j,924.98+494.5j
2017-10-18 07:30:00,875.92+484.92j,875.92+484.92j,875.92+484.92j
2017-10-18 07:40:00,826.47+475.33j,826.47+475.33j,826.47+475.33j
2017-10-18 07:50:00,777.4+465.75j,777.4+465.75j,777.4+465.75j
2017-10-18 08:00:00,728.33+456.17j,728.33+456.17j,728.33+456.17j
2017-10-18 08:10:00,742.13+451.06j,742.13+451.06j,742.13+451.06j
2017-10-18 08:20:00,756.32+445.94j,756.32+445.94j,756.32+445.94j
2017-10-18 08:30:00,770.5+440.83j,770.5+440.83j,770.5+440.83j
2017-10-18 08:40:00,784.3+435.72j,784.3+435.72j,784.3+435.72j
2017-10-18 08:50:00,798.48+430.61j,798.48+430.61j,798.48+430.61j
2017-10-18 09:00:00,812.67+425.5j,812.67+425.5j,812.67+425.5j
2017-10-18 09:10:00,803.47+437.64j,803.47+437.64j,803.47+437.64j
2017-10-18 09:20:00,794.65+449.78j,794.65+449.78j,794.65+449.78j
2017-10-18 09:30:00,785.83+461.92j,785.83+461.92j,785.83+461.92j
2017-10-18 09:40:00,776.63+474.06j,776.63+474.06j,776.63+474.06j
2017-10-18 09:50:00,767.82+486.19j,767.82+486.19j,767.82+486.19j
2017-10-18 10:00:00,759+498.33j,759+498.33j,759+498.33j
2017-10-18 10:10:00,757.47+495.15j,757.47+495.15j,757.47+495.15j
2017-10-18 10:20:00,756.32+491.94j,756.32+491.94j,756.32+491.94j
2017-10-18 10:30:00,755.17+488.75j,755.17+488.75j,755.17+488.75j
2017-10-18 10:40:00,753.63+485.56j,753.63+485.56j,753.63+485.56j
2017-10-18 10:50:00,752.48+482.36j,752.48+482.36j,752.48+482.36j
2017-10-18 11:00:00,751.33+479.17j,751.33+479.17j,751.33+479.17j
2017-10-18 11:10:00,761.3+484.28j,761.3+484.28j,761.3+484.28j
2017-10-18 11:20:00,771.65+489.39j,771.65+489.39j,771.65+489.39j
2017-10-18 11:30:00,782+494.5j,782+494.5j,782+494.5j
2017-10-18 11:40:00,791.97+499.63j,791.97+499.63j,791.97+499.63j
2017-10-18 11:50:00,802.32+504.71j,802.32+504.71j,802.32+504.71j
2017-10-18 12:00:00,812.67+509.83j,812.67+509.83j,812.67+509.83j
2017-10-18 12:10:00,817.65+546.24j,817.65+546.24j,817.65+546.24j
2017-10-18 12:20:00,822.63+582.68j,822.63+582.68j,822.63+582.68j
2017-10-18 12:30:00,828+619.08j,828+619.08j,828+619.08j
2017-10-18 12:40:00,832.98+655.49j,832.98+655.49j,832.98+655.49j
2017-10-18 12:50:00,837.97+691.93j,837.97+691.93j,837.97+691.93j
2017-10-18 13:00:00,843.33+728.33j,843.33+728.33j,843.33+728.33j
2017-10-18 13:10:00,839.88+708.54j,839.88+708.54j,839.88+708.54j
2017-10-18 13:20:00,836.82+688.71j,836.82+688.71j,836.82+688.71j
2017-10-18 13:30:00,833.75+668.92j,833.75+668.92j,833.75+668.92j
2017-10-18 13:40:00,830.3+649.13j,830.3+649.13j,830.3+649.13j
2017-10-18 13:50:00,827.23+629.29j,827.23+629.29j,827.23+629.29j
2017-10-18 14:00:00,824.17+609.5j,824.17+609.5j,824.17+609.5j
2017-10-18 14:10:00,821.48+628.68j,821.48+628.68j,821.48+628.68j
2017-10-18 14:20:00,818.8+647.82j,818.8+647.82j,818.8+647.82j
2017-10-18 14:30:00,816.5+667j,816.5+667j,816.5+667j
2017-10-18 14:40:00,813.82+686.18j,813.82+686.18j,813.82+686.18j
2017-10-18 14:50:00,811.13+705.32j,811.13+705.32j,811.13+705.32j
2017-10-18 15:00:00,808.83+724.5j,808.83+724.5j,808.83+724.5j
2017-10-18 15:10:00,823.4+719.39j,823.4+719.39j,823.4+719.39j
2017-10-18 15:20:00,837.97+714.28j,837.97+714.28j,837.97+714.28j
2017-10-18 15:30:00,852.92+709.17j,852.92+709.17j,852.92+709.17j
2017-10-18 15:40:00,867.48+704.06j,867.48+704.06j,867.48+704.06j
2017-10-18 15:50:00,882.05+698.94j,882.05+698.94j,882.05+698.94j
2017-10-18 16:00:00,897+693.83j,897+693.83j,897+693.83j
2017-10-18 16:10:00,908.88+695.74j,908.88+695.74j,908.88+695.74j
2017-10-18 16:20:00,921.15+697.68j,921.15+697.68j,921.15+697.68j
2017-10-18 16:30:00,933.42+699.58j,933.42+699.58j,933.42+699.58j
2017-10-18 16:40:00,945.3+701.49j,945.3+701.49j,945.3+701.49j
2017-10-18 16:50:00,957.57+703.43j,957.57+703.43j,957.57+703.43j
2017-10-18 17:00:00,969.83+705.33j,969.83+705.33j,969.83+705.33j
2017-10-18 17:10:00,955.65+702.79j,955.65+702.79j,955.65+702.79j
2017-10-18 17:20:00,941.47+700.21j,941.47+700.21j,941.47+700.21j
2017-10-18 17:30:00,927.67+697.67j,927.67+697.67j,927.67+697.67j
2017-10-18 17:40:00,913.48+695.13j,913.48+695.13j,913.48+695.13j
2017-10-18 17:50:00,899.3+692.54j,899.3+692.54j,899.3+692.54j
2017-10-18 18:00:00,885.5+690j,885.5+690j,885.5+690j
2017-10-18 18:10:00,893.17+689.36j,893.17+689.36j,893.17+689.36j
2017-10-18 18:20:00,900.83+688.72j,900.83+688.72j,900.83+688.72j
2017-10-18 18:30:00,908.5+688.08j,908.5+688.08j,908.5+688.08j
2017-10-18 18:40:00,916.17+687.44j,916.17+687.44j,916.17+687.44j
2017-10-18 18:50:00,923.83+686.81j,923.83+686.81j,923.83+686.81j
2017-10-18 19:00:00,931.5+686.17j,931.5+686.17j,931.5+686.17j
2017-10-18 19:10:00,973.28+692.56j,973.28+692.56j,973.28+692.56j
2017-10-18 19:20:00,1015.83+698.94j,1015.83+698.94j,1015.83+698.94j
2017-10-18 19:30:00,1058+705.33j,1058+705.33j,1058+705.33j
2017-10-18 19:40:00,1099.78+711.72j,1099.78+711.72j,1099.78+711.72j
2017-10-18 19:50:00,1142.33+718.11j,1142.33+718.11j,1142.33+718.11j
2017-10-18 20:00:00,1184.5+724.5j,1184.5+724.5j,1184.5+724.5j
2017-10-18 20:10:00,1258.48+726.43j,1258.48+726.43j,1258.48+726.43j
2017-10-18 20:20:00,1332.47+728.32j,1332.47+728.32j,1332.47+728.32j
2017-10-18 20:30:00,1406.83+730.25j,1406.83+730.25j,1406.83+730.25j
2017-10-18 20:40:00,1480.82+732.18j,1480.82+732.18j,1480.82+732.18j
2017-10-18 20:50:00,1554.8+734.07j,1554.8+734.07j,1554.8+734.07j
2017-10-18 21:00:00,1629.17+736j,1629.17+736j,1629.17+736j
2017-10-18 21:10:00,1607.32+737.28j,1607.32+737.28j,1607.32+737.28j
2017-10-18 21:20:00,1585.47+738.56j,1585.47+738.56j,1585.47+738.56j
2017-10-18 21:30:00,1564+739.83j,1564+739.83j,1564+739.83j
2017-10-18 21:40:00,1542.15+741.11j,1542.15+741.11j,1542.15+741.11j
2017-10-18 21:50:00,1520.3+742.39j,1520.3+742.39j,1520.3+742.39j
2017-10-18 22:00:00,1498.83+743.67j,1498.83+743.67j,1498.83+743.67j
2017-10-18 22:10:00,1463.95+736.64j,1463.95+736.64j,1463.95+736.64j
2017-10-18 22:20:00,1429.83+729.61j,1429.83+729.61j,1429.83+729.61j
2017-10-18 22:30:00,1395.33+722.58j,1395.33+722.58j,1395.33+722.58j
2017-10-18 22:40:00,1360.45+715.56j,1360.45+715.56j,1360.45+715.56j
2017-10-18 22:50:00,1326.33+708.53j,1326.33+708.53j,1326.33+708.53j
2017-10-18 23:00:00,1291.83+701.5j,1291.83+701.5j,1291.83+701.5j
2017-10-18 23:10:00,1280.72+709.82j,1280.72+709.82j,1280.72+709.82j
2017-10-18 23:20:00,1269.98+718.1j,1269.98+718.1j,1269.98+718.1j
2017-10-18 23:30:00,1259.25+726.42j,1259.25+726.42j,1259.25+726.42j
2017-10-18 23:40:00,1248.13+734.74j,1248.13+734.74j,1248.13+734.74j
2017-10-18 23:50:00,1237.4+743.02j,1237.4+743.02j,1237.4+743.02j
