#timPSTamp,	constant_power_A,constant_power_C
2017-10-18 18:40:00,239+179.33j,239+179.33j
2017-10-18 18:50:00,241+179.17j,241+179.17j
2017-10-18 19:00:00,243+179j,243+179j
2017-10-18 19:10:00,253.9+180.67j,253.9+180.67j
2017-10-18 19:20:00,265+182.33j,265+182.33j
2017-10-18 19:30:00,276+184j,276+184j
2017-10-18 19:40:00,286.9+185.67j,286.9+185.67j
2017-10-18 19:50:00,298+187.33j,298+187.33j
2017-10-18 20:00:00,309+189j,309+189j
2017-10-18 20:10:00,328.3+189.5j,328.3+189.5j
2017-10-18 20:20:00,347.6+190j,347.6+190j
2017-10-18 20:30:00,367+190.5j,367+190.5j
2017-10-18 20:40:00,386.3+191j,386.3+191j
2017-10-18 20:50:00,405.6+191.5j,405.6+191.5j
2017-10-18 21:00:00,425+192j,425+192j
2017-10-18 21:10:00,419.3+192.33j,419.3+192.33j
2017-10-18 21:20:00,413.6+192.67j,413.6+192.67j
2017-10-18 21:30:00,408+193j,408+193j
2017-10-18 21:40:00,402.3+193.33j,402.3+193.33j
2017-10-18 21:50:00,396.6+193.67j,396.6+193.67j
2017-10-18 22:00:00,391+194j,391+194j
2017-10-18 22:10:00,381.9+192.17j,381.9+192.17j
2017-10-18 22:20:00,373+190.33j,373+190.33j
2017-10-18 22:30:00,364+188.5j,364+188.5j
2017-10-18 22:40:00,354.9+186.67j,354.9+186.67j
2017-10-18 22:50:00,346+184.83j,346+184.83j
2017-10-18 23:00:00,337+183j,337+183j
2017-10-18 23:10:00,334.1+185.17j,334.1+185.17j
2017-10-18 23:20:00,331.3+187.33j,331.3+187.33j
2017-10-18 23:30:00,328.5+189.5j,328.5+189.5j
2017-10-18 23:40:00,325.6+191.67j,325.6+191.67j
2017-10-18 23:50:00,322.8+193.83j,322.8+193.83j
