#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-10-18 00:00:00,3508.4+1778.07j,3508.4+1778.07j,3508.4+1778.07j
2017-10-18 00:10:00,3461.86+1770.07j,3461.86+1770.07j,3461.86+1770.07j
2017-10-18 00:20:00,3416.51+1762.2j,3416.51+1762.2j,3416.51+1762.2j
2017-10-18 00:30:00,3371.17+1754.2j,3371.17+1754.2j,3371.17+1754.2j
2017-10-18 00:40:00,3324.63+1746.2j,3324.63+1746.2j,3324.63+1746.2j
2017-10-18 00:50:00,3279.28+1738.33j,3279.28+1738.33j,3279.28+1738.33j
2017-10-18 01:00:00,3233.93+1730.33j,3233.93+1730.33j,3233.93+1730.33j
2017-10-18 01:10:00,3202.91+1740.24j,3202.91+1740.24j,3202.91+1740.24j
2017-10-18 01:20:00,3174.27+1750.26j,3174.27+1750.26j,3174.27+1750.26j
2017-10-18 01:30:00,3144.43+1760.17j,3144.43+1760.17j,3144.43+1760.17j
2017-10-18 01:40:00,3113.41+1770.07j,3113.41+1770.07j,3113.41+1770.07j
2017-10-18 01:50:00,3084.77+1780.1j,3084.77+1780.1j,3084.77+1780.1j
2017-10-18 02:00:00,3054.93+1790j,3054.93+1790j,3054.93+1790j
2017-10-18 02:10:00,3028.68+1790j,3028.68+1790j,3028.68+1790j
2017-10-18 02:20:00,3002.43+1790j,3002.43+1790j,3002.43+1790j
2017-10-18 02:30:00,2977.37+1790j,2977.37+1790j,2977.37+1790j
2017-10-18 02:40:00,2951.11+1790j,2951.11+1790j,2951.11+1790j
2017-10-18 02:50:00,2924.86+1790j,2924.86+1790j,2924.86+1790j
2017-10-18 03:00:00,2899.8+1790j,2899.8+1790j,2899.8+1790j
2017-10-18 03:10:00,2900.99+1787.97j,2900.99+1787.97j,2900.99+1787.97j
2017-10-18 03:20:00,2903.38+1786.06j,2903.38+1786.06j,2903.38+1786.06j
2017-10-18 03:30:00,2905.77+1784.03j,2905.77+1784.03j,2905.77+1784.03j
2017-10-18 03:40:00,2906.96+1782j,2906.96+1782j,2906.96+1782j
2017-10-18 03:50:00,2909.35+1780.1j,2909.35+1780.1j,2909.35+1780.1j
2017-10-18 04:00:00,2911.73+1778.07j,2911.73+1778.07j,2911.73+1778.07j
2017-10-18 04:10:00,2911.73+1780.1j,2911.73+1780.1j,2911.73+1780.1j
2017-10-18 04:20:00,2910.54+1782j,2910.54+1782j,2910.54+1782j
2017-10-18 04:30:00,2911.73+1784.03j,2911.73+1784.03j,2911.73+1784.03j
2017-10-18 04:40:00,2911.73+1786.06j,2911.73+1786.06j,2911.73+1786.06j
2017-10-18 04:50:00,2910.54+1787.97j,2910.54+1787.97j,2910.54+1787.97j
2017-10-18 05:00:00,2911.73+1790j,2911.73+1790j,2911.73+1790j
2017-10-18 05:10:00,2927.25+1787.97j,2927.25+1787.97j,2927.25+1787.97j
2017-10-18 05:20:00,2942.76+1786.06j,2942.76+1786.06j,2942.76+1786.06j
2017-10-18 05:30:00,2959.47+1784.03j,2959.47+1784.03j,2959.47+1784.03j
2017-10-18 05:40:00,2974.98+1782j,2974.98+1782j,2974.98+1782j
2017-10-18 05:50:00,2990.49+1780.1j,2990.49+1780.1j,2990.49+1780.1j
2017-10-18 06:00:00,3007.2+1778.07j,3007.2+1778.07j,3007.2+1778.07j
2017-10-18 06:10:00,3037.03+1748.2j,3037.03+1748.2j,3037.03+1748.2j
2017-10-18 06:20:00,3065.67+1718.44j,3065.67+1718.44j,3065.67+1718.44j
2017-10-18 06:30:00,3096.7+1688.57j,3096.7+1688.57j,3096.7+1688.57j
2017-10-18 06:40:00,3126.53+1658.7j,3126.53+1658.7j,3126.53+1658.7j
2017-10-18 06:50:00,3155.17+1628.94j,3155.17+1628.94j,3155.17+1628.94j
2017-10-18 07:00:00,3186.2+1599.07j,3186.2+1599.07j,3186.2+1599.07j
2017-10-18 07:10:00,3032.26+1569.23j,3032.26+1569.23j,3032.26+1569.23j
2017-10-18 07:20:00,2879.51+1539.4j,2879.51+1539.4j,2879.51+1539.4j
2017-10-18 07:30:00,2726.77+1509.57j,2726.77+1509.57j,2726.77+1509.57j
2017-10-18 07:40:00,2572.83+1479.73j,2572.83+1479.73j,2572.83+1479.73j
2017-10-18 07:50:00,2420.08+1449.9j,2420.08+1449.9j,2420.08+1449.9j
2017-10-18 08:00:00,2267.33+1420.07j,2267.33+1420.07j,2267.33+1420.07j
2017-10-18 08:10:00,2310.29+1404.16j,2310.29+1404.16j,2310.29+1404.16j
2017-10-18 08:20:00,2354.45+1388.24j,2354.45+1388.24j,2354.45+1388.24j
2017-10-18 08:30:00,2398.6+1372.33j,2398.6+1372.33j,2398.6+1372.33j
2017-10-18 08:40:00,2441.56+1356.43j,2441.56+1356.43j,2441.56+1356.43j
