#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-10-18 00:00:00,1372+695.33j,1372+695.33j,1372+695.33j
2017-10-18 00:10:00,1353.8+692.21j,1353.8+692.21j,1353.8+692.21j
2017-10-18 00:20:00,1336.07+689.13j,1336.07+689.13j,1336.07+689.13j
2017-10-18 00:30:00,1318.33+686j,1318.33+686j,1318.33+686j
2017-10-18 00:40:00,1300.13+682.87j,1300.13+682.87j,1300.13+682.87j
2017-10-18 00:50:00,1282.4+679.79j,1282.4+679.79j,1282.4+679.79j
2017-10-18 01:00:00,1264.67+676.67j,1264.67+676.67j,1264.67+676.67j
2017-10-18 01:10:00,1252.53+680.54j,1252.53+680.54j,1252.53+680.54j
2017-10-18 01:20:00,1241.33+684.46j,1241.33+684.46j,1241.33+684.46j
2017-10-18 01:30:00,1229.67+688.33j,1229.67+688.33j,1229.67+688.33j
2017-10-18 01:40:00,1217.53+692.21j,1217.53+692.21j,1217.53+692.21j
2017-10-18 01:50:00,1206.33+696.13j,1206.33+696.13j,1206.33+696.13j
2017-10-18 02:00:00,1194.67+700j,1194.67+700j,1194.67+700j
2017-10-18 02:10:00,1184.4+700j,1184.4+700j,1184.4+700j
2017-10-18 02:20:00,1174.13+700j,1174.13+700j,1174.13+700j
2017-10-18 02:30:00,1164.33+700j,1164.33+700j,1164.33+700j
2017-10-18 02:40:00,1154.07+700j,1154.07+700j,1154.07+700j
2017-10-18 02:50:00,1143.8+700j,1143.8+700j,1143.8+700j
2017-10-18 03:00:00,1134+700j,1134+700j,1134+700j
2017-10-18 03:10:00,1134.47+699.21j,1134.47+699.21j,1134.47+699.21j
2017-10-18 03:20:00,1135.4+698.46j,1135.4+698.46j,1135.4+698.46j
2017-10-18 03:30:00,1136.33+697.67j,1136.33+697.67j,1136.33+697.67j
2017-10-18 03:40:00,1136.8+696.87j,1136.8+696.87j,1136.8+696.87j
2017-10-18 03:50:00,1137.73+696.13j,1137.73+696.13j,1137.73+696.13j
2017-10-18 04:00:00,1138.67+695.33j,1138.67+695.33j,1138.67+695.33j
2017-10-18 04:10:00,1138.67+696.13j,1138.67+696.13j,1138.67+696.13j
