#timPSTamp,	constant_power_A,constant_power_C
2017-10-18 18:00:00,346.5+270j,346.5+270j
2017-10-18 18:10:00,349.5+269.75j,349.5+269.75j
2017-10-18 18:20:00,352.5+269.5j,352.5+269.5j
2017-10-18 18:30:00,355.5+269.25j,355.5+269.25j
2017-10-18 18:40:00,358.5+269j,358.5+269j
2017-10-18 18:50:00,361.5+268.75j,361.5+268.75j
2017-10-18 19:00:00,364.5+268.5j,364.5+268.5j
2017-10-18 19:10:00,380.85+271j,380.85+271j
2017-10-18 19:20:00,397.5+273.5j,397.5+273.5j
2017-10-18 19:30:00,414+276j,414+276j
2017-10-18 19:40:00,430.35+278.5j,430.35+278.5j
2017-10-18 19:50:00,447+281j,447+281j
2017-10-18 20:00:00,463.5+283.5j,463.5+283.5j
2017-10-18 20:10:00,492.45+284.25j,492.45+284.25j
2017-10-18 20:20:00,521.4+285j,521.4+285j
2017-10-18 20:30:00,550.5+285.75j,550.5+285.75j
2017-10-18 20:40:00,579.45+286.5j,579.45+286.5j
2017-10-18 20:50:00,608.4+287.25j,608.4+287.25j
2017-10-18 21:00:00,637.5+288j,637.5+288j
2017-10-18 21:10:00,628.95+288.5j,628.95+288.5j
2017-10-18 21:20:00,620.4+289j,620.4+289j
2017-10-18 21:30:00,612+289.5j,612+289.5j
2017-10-18 21:40:00,603.45+290j,603.45+290j
2017-10-18 21:50:00,594.9+290.5j,594.9+290.5j
2017-10-18 22:00:00,586.5+291j,586.5+291j
2017-10-18 22:10:00,572.85+288.25j,572.85+288.25j
2017-10-18 22:20:00,559.5+285.5j,559.5+285.5j
2017-10-18 22:30:00,546+282.75j,546+282.75j
2017-10-18 22:40:00,532.35+280j,532.35+280j
2017-10-18 22:50:00,519+277.25j,519+277.25j
2017-10-18 23:00:00,505.5+274.5j,505.5+274.5j
2017-10-18 23:10:00,501.15+277.76j,501.15+277.76j
2017-10-18 23:20:00,496.95+281j,496.95+281j
2017-10-18 23:30:00,492.75+284.25j,492.75+284.25j
2017-10-18 23:40:00,488.4+287.51j,488.4+287.51j
2017-10-18 23:50:00,484.2+290.75j,484.2+290.75j
