# file...... Medidor_potencia_SE.csv
# date...... Fri Jun 03 15:40:09 2022
# user...... leona
# host...... (null)
# target.... meter 12
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2017-10-18 19:00:00 PDT,+243020,-58383.1
2017-10-18 19:10:00 PDT,+253938,-58314.7
2017-10-18 19:20:00 PDT,+265058,-58242.4
2017-10-18 19:30:00 PDT,+276080,-58167.2
2017-10-18 19:40:00 PDT,+287005,-58089.5
2017-10-18 19:50:00 PDT,+298132,-58007.8
2017-10-18 20:00:00 PDT,+309161,-57495.8
2017-10-18 20:10:00 PDT,+328509,-56840.9
2017-10-18 20:20:00 PDT,+347864,-54167.4
2017-10-18 20:30:00 PDT,+361654,-49201.7
2017-10-18 20:40:00 PDT,+371894,-42423.5
2017-10-18 20:50:00 PDT,+382912,-33411.1
2017-10-18 21:00:00 PDT,+394810,-22658
2017-10-18 21:10:00 PDT,+382466,-25637
2017-10-18 21:20:00 PDT,+371662,-28613.4
2017-10-18 21:30:00 PDT,+362153,-30847.7
2017-10-18 21:40:00 PDT,+353845,-33031.5
2017-10-18 21:50:00 PDT,+346697,-35212.7
2017-10-18 22:00:00 PDT,+341127,-37350.4
2017-10-18 22:10:00 PDT,+333322,-42757.3
2017-10-18 22:20:00 PDT,+327263,-47449.6
2017-10-18 22:30:00 PDT,+321760,-52170.1
2017-10-18 22:40:00 PDT,+317246,-55968.1
2017-10-18 22:50:00 PDT,+313434,-57634.2
2017-10-18 23:00:00 PDT,+309913,-57711.9
2017-10-18 23:10:00 PDT,+312696,-57732.1
2017-10-18 23:20:00 PDT,+315638,-57751.6
2017-10-18 23:30:00 PDT,+318357,-56842.9
2017-10-18 23:40:00 PDT,+320815,-54691.7
2017-10-18 23:50:00 PDT,+323010,-52549.8
