#timPSTamp,	constant_power_A,constant_power_C
2017-10-18 00:00:00,73.5+37.25j,73.5+37.25j
2017-10-18 00:10:00,72.53+37.08j,72.53+37.08j
2017-10-18 00:20:00,71.58+36.92j,71.58+36.92j
2017-10-18 00:30:00,70.63+36.75j,70.63+36.75j
2017-10-18 00:40:00,69.65+36.58j,69.65+36.58j
2017-10-18 00:50:00,68.7+36.42j,68.7+36.42j
2017-10-18 01:00:00,67.75+36.25j,67.75+36.25j
2017-10-18 01:10:00,67.1+36.46j,67.1+36.46j
2017-10-18 01:20:00,66.5+36.67j,66.5+36.67j
2017-10-18 01:30:00,65.88+36.88j,65.88+36.88j
2017-10-18 01:40:00,65.23+37.08j,65.23+37.08j
2017-10-18 01:50:00,64.63+37.29j,64.63+37.29j
2017-10-18 02:00:00,64+37.5j,64+37.5j
2017-10-18 02:10:00,63.45+37.5j,63.45+37.5j
2017-10-18 02:20:00,62.9+37.5j,62.9+37.5j
2017-10-18 02:30:00,62.38+37.5j,62.38+37.5j
2017-10-18 02:40:00,61.83+37.5j,61.83+37.5j
2017-10-18 02:50:00,61.28+37.5j,61.28+37.5j
2017-10-18 03:00:00,60.75+37.5j,60.75+37.5j
2017-10-18 03:10:00,60.78+37.46j,60.78+37.46j
2017-10-18 03:20:00,60.83+37.42j,60.83+37.42j
2017-10-18 03:30:00,60.88+37.38j,60.88+37.38j
2017-10-18 03:40:00,60.9+37.33j,60.9+37.33j
2017-10-18 03:50:00,60.95+37.29j,60.95+37.29j
2017-10-18 04:00:00,61+37.25j,61+37.25j
2017-10-18 04:10:00,61+37.29j,61+37.29j
2017-10-18 04:20:00,60.98+37.33j,60.98+37.33j
2017-10-18 04:30:00,61+37.38j,61+37.38j
2017-10-18 04:40:00,61+37.42j,61+37.42j
2017-10-18 04:50:00,60.98+37.46j,60.98+37.46j
2017-10-18 05:00:00,61+37.5j,61+37.5j
2017-10-18 05:10:00,61.33+37.46j,61.33+37.46j
2017-10-18 05:20:00,61.65+37.42j,61.65+37.42j
2017-10-18 05:30:00,62+37.38j,62+37.38j
2017-10-18 05:40:00,62.33+37.33j,62.33+37.33j
2017-10-18 05:50:00,62.65+37.29j,62.65+37.29j
2017-10-18 06:00:00,63+37.25j,63+37.25j
2017-10-18 06:10:00,63.63+36.62j,63.63+36.62j
2017-10-18 06:20:00,64.23+36j,64.23+36j
2017-10-18 06:30:00,64.88+35.38j,64.88+35.38j
2017-10-18 06:40:00,65.5+34.75j,65.5+34.75j
2017-10-18 06:50:00,66.1+34.13j,66.1+34.13j
2017-10-18 07:00:00,66.75+33.5j,66.75+33.5j
2017-10-18 07:10:00,63.53+32.88j,63.53+32.88j
2017-10-18 07:20:00,60.33+32.25j,60.33+32.25j
2017-10-18 07:30:00,57.13+31.63j,57.13+31.63j
2017-10-18 07:40:00,53.9+31j,53.9+31j
2017-10-18 07:50:00,50.7+30.38j,50.7+30.38j
2017-10-18 08:00:00,47.5+29.75j,47.5+29.75j
2017-10-18 08:10:00,48.4+29.42j,48.4+29.42j
2017-10-18 08:20:00,49.33+29.08j,49.33+29.08j
2017-10-18 08:30:00,50.25+28.75j,50.25+28.75j
2017-10-18 08:40:00,51.15+28.42j,51.15+28.42j
2017-10-18 08:50:00,52.08+28.08j,52.08+28.08j
2017-10-18 09:00:00,53+27.75j,53+27.75j
2017-10-18 09:10:00,52.4+28.54j,52.4+28.54j
2017-10-18 09:20:00,51.83+29.33j,51.83+29.33j
2017-10-18 09:30:00,51.25+30.13j,51.25+30.13j
2017-10-18 09:40:00,50.65+30.92j,50.65+30.92j
2017-10-18 09:50:00,50.08+31.71j,50.08+31.71j
2017-10-18 10:00:00,49.5+32.5j,49.5+32.5j
2017-10-18 10:10:00,49.4+32.29j,49.4+32.29j
2017-10-18 10:20:00,49.33+32.08j,49.33+32.08j
2017-10-18 10:30:00,49.25+31.88j,49.25+31.88j
2017-10-18 10:40:00,49.15+31.67j,49.15+31.67j
2017-10-18 10:50:00,49.08+31.46j,49.08+31.46j
2017-10-18 11:00:00,49+31.25j,49+31.25j
2017-10-18 11:10:00,49.65+31.58j,49.65+31.58j
2017-10-18 11:20:00,50.33+31.92j,50.33+31.92j
2017-10-18 11:30:00,51+32.25j,51+32.25j
2017-10-18 11:40:00,51.65+32.58j,51.65+32.58j
2017-10-18 11:50:00,52.33+32.92j,52.33+32.92j
2017-10-18 12:00:00,53+33.25j,53+33.25j
2017-10-18 12:10:00,53.33+35.62j,53.33+35.62j
2017-10-18 12:20:00,53.65+38j,53.65+38j
2017-10-18 12:30:00,54+40.38j,54+40.38j
2017-10-18 12:40:00,54.33+42.75j,54.33+42.75j
2017-10-18 12:50:00,54.65+45.13j,54.65+45.13j
2017-10-18 13:00:00,55+47.5j,55+47.5j
2017-10-18 13:10:00,54.78+46.21j,54.78+46.21j
2017-10-18 13:20:00,54.58+44.92j,54.58+44.92j
2017-10-18 13:30:00,54.38+43.63j,54.38+43.63j
2017-10-18 13:40:00,54.15+42.33j,54.15+42.33j
2017-10-18 13:50:00,53.95+41.04j,53.95+41.04j
2017-10-18 14:00:00,53.75+39.75j,53.75+39.75j
2017-10-18 14:10:00,53.58+41j,53.58+41j
2017-10-18 14:20:00,53.4+42.25j,53.4+42.25j
2017-10-18 14:30:00,53.25+43.5j,53.25+43.5j
2017-10-18 14:40:00,53.08+44.75j,53.08+44.75j
2017-10-18 14:50:00,52.9+46j,52.9+46j
2017-10-18 15:00:00,52.75+47.25j,52.75+47.25j
2017-10-18 15:10:00,53.7+46.92j,53.7+46.92j
2017-10-18 15:20:00,54.65+46.58j,54.65+46.58j
2017-10-18 15:30:00,55.63+46.25j,55.63+46.25j
2017-10-18 15:40:00,56.58+45.92j,56.58+45.92j
2017-10-18 15:50:00,57.53+45.58j,57.53+45.58j
2017-10-18 16:00:00,58.5+45.25j,58.5+45.25j
2017-10-18 16:10:00,59.28+45.37j,59.28+45.37j
2017-10-18 16:20:00,60.08+45.5j,60.08+45.5j
2017-10-18 16:30:00,60.88+45.63j,60.88+45.63j
2017-10-18 16:40:00,61.65+45.75j,61.65+45.75j
2017-10-18 16:50:00,62.45+45.88j,62.45+45.88j
2017-10-18 17:00:00,63.25+46j,63.25+46j
2017-10-18 17:10:00,62.33+45.83j,62.33+45.83j
2017-10-18 17:20:00,61.4+45.67j,61.4+45.67j
2017-10-18 17:30:00,60.5+45.5j,60.5+45.5j
2017-10-18 17:40:00,59.58+45.33j,59.58+45.33j
2017-10-18 17:50:00,58.65+45.17j,58.65+45.17j
2017-10-18 18:00:00,57.75+45j,57.75+45j
2017-10-18 18:10:00,58.25+44.96j,58.25+44.96j
2017-10-18 18:20:00,58.75+44.92j,58.75+44.92j
2017-10-18 18:30:00,59.25+44.88j,59.25+44.88j
2017-10-18 18:40:00,59.75+44.83j,59.75+44.83j
2017-10-18 18:50:00,60.25+44.79j,60.25+44.79j
2017-10-18 19:00:00,60.75+44.75j,60.75+44.75j
2017-10-18 19:10:00,63.48+45.17j,63.48+45.17j
2017-10-18 19:20:00,66.25+45.58j,66.25+45.58j
2017-10-18 19:30:00,69+46j,69+46j
2017-10-18 19:40:00,71.73+46.42j,71.73+46.42j
2017-10-18 19:50:00,74.5+46.83j,74.5+46.83j
2017-10-18 20:00:00,77.25+47.25j,77.25+47.25j
2017-10-18 20:10:00,82.08+47.38j,82.08+47.38j
2017-10-18 20:20:00,86.9+47.5j,86.9+47.5j
2017-10-18 20:30:00,91.75+47.63j,91.75+47.63j
2017-10-18 20:40:00,96.58+47.75j,96.58+47.75j
2017-10-18 20:50:00,101.4+47.87j,101.4+47.87j
2017-10-18 21:00:00,106.25+48j,106.25+48j
2017-10-18 21:10:00,104.83+48.08j,104.83+48.08j
2017-10-18 21:20:00,103.4+48.17j,103.4+48.17j
2017-10-18 21:30:00,102+48.25j,102+48.25j
2017-10-18 21:40:00,100.58+48.33j,100.58+48.33j
2017-10-18 21:50:00,99.15+48.42j,99.15+48.42j
2017-10-18 22:00:00,97.75+48.5j,97.75+48.5j
2017-10-18 22:10:00,95.48+48.04j,95.48+48.04j
2017-10-18 22:20:00,93.25+47.58j,93.25+47.58j
2017-10-18 22:30:00,91+47.13j,91+47.13j
2017-10-18 22:40:00,88.73+46.67j,88.73+46.67j
2017-10-18 22:50:00,86.5+46.21j,86.5+46.21j
2017-10-18 23:00:00,84.25+45.75j,84.25+45.75j
2017-10-18 23:10:00,83.53+46.29j,83.53+46.29j
2017-10-18 23:20:00,82.83+46.83j,82.83+46.83j
2017-10-18 23:30:00,82.13+47.38j,82.13+47.38j
2017-10-18 23:40:00,81.4+47.92j,81.4+47.92j
2017-10-18 23:50:00,80.7+48.46j,80.7+48.46j
