#timPSTamp,	constant_power_A,constant_power_C
2017-10-18 00:00:00,205.8+104.3j,205.8+104.3j
2017-10-18 00:10:00,203.07+103.83j,203.07+103.83j
2017-10-18 00:20:00,200.41+103.37j,200.41+103.37j
2017-10-18 00:30:00,197.75+102.9j,197.75+102.9j
2017-10-18 00:40:00,195.02+102.43j,195.02+102.43j
2017-10-18 00:50:00,192.36+101.97j,192.36+101.97j
2017-10-18 01:00:00,189.7+101.5j,189.7+101.5j
2017-10-18 01:10:00,187.88+102.08j,187.88+102.08j
2017-10-18 01:20:00,186.2+102.67j,186.2+102.67j
2017-10-18 01:30:00,184.45+103.25j,184.45+103.25j
2017-10-18 01:40:00,182.63+103.83j,182.63+103.83j
2017-10-18 01:50:00,180.95+104.42j,180.95+104.42j
2017-10-18 02:00:00,179.2+105j,179.2+105j
2017-10-18 02:10:00,177.66+105j,177.66+105j
2017-10-18 02:20:00,176.12+105j,176.12+105j
2017-10-18 02:30:00,174.65+105j,174.65+105j
2017-10-18 02:40:00,173.11+105j,173.11+105j
2017-10-18 02:50:00,171.57+105j,171.57+105j
2017-10-18 03:00:00,170.1+105j,170.1+105j
2017-10-18 03:10:00,170.17+104.88j,170.17+104.88j
2017-10-18 03:20:00,170.31+104.77j,170.31+104.77j
2017-10-18 03:30:00,170.45+104.65j,170.45+104.65j
2017-10-18 03:40:00,170.52+104.53j,170.52+104.53j
2017-10-18 03:50:00,170.66+104.42j,170.66+104.42j
2017-10-18 04:00:00,170.8+104.3j,170.8+104.3j
2017-10-18 04:10:00,170.8+104.42j,170.8+104.42j
2017-10-18 04:20:00,170.73+104.53j,170.73+104.53j
2017-10-18 04:30:00,170.8+104.65j,170.8+104.65j
2017-10-18 04:40:00,170.8+104.77j,170.8+104.77j
2017-10-18 04:50:00,170.73+104.88j,170.73+104.88j
2017-10-18 05:00:00,170.8+105j,170.8+105j
2017-10-18 05:10:00,171.71+104.88j,171.71+104.88j
2017-10-18 05:20:00,172.62+104.77j,172.62+104.77j
2017-10-18 05:30:00,173.6+104.65j,173.6+104.65j
2017-10-18 05:40:00,174.51+104.53j,174.51+104.53j
2017-10-18 05:50:00,175.42+104.42j,175.42+104.42j
2017-10-18 06:00:00,176.4+104.3j,176.4+104.3j
2017-10-18 06:10:00,178.15+102.55j,178.15+102.55j
2017-10-18 06:20:00,179.83+100.8j,179.83+100.8j
2017-10-18 06:30:00,181.65+99.05j,181.65+99.05j
2017-10-18 06:40:00,183.4+97.3j,183.4+97.3j
2017-10-18 06:50:00,185.08+95.55j,185.08+95.55j
2017-10-18 07:00:00,186.9+93.8j,186.9+93.8j
2017-10-18 07:10:00,177.87+92.05j,177.87+92.05j
2017-10-18 07:20:00,168.91+90.3j,168.91+90.3j
2017-10-18 07:30:00,159.95+88.55j,159.95+88.55j
2017-10-18 07:40:00,150.92+86.8j,150.92+86.8j
2017-10-18 07:50:00,141.96+85.05j,141.96+85.05j
2017-10-18 08:00:00,133+83.3j,133+83.3j
2017-10-18 08:10:00,135.52+82.37j,135.52+82.37j
2017-10-18 08:20:00,138.11+81.43j,138.11+81.43j
2017-10-18 08:30:00,140.7+80.5j,140.7+80.5j
2017-10-18 08:40:00,143.22+79.57j,143.22+79.57j
2017-10-18 08:50:00,145.81+78.63j,145.81+78.63j
2017-10-18 09:00:00,148.4+77.7j,148.4+77.7j
2017-10-18 09:10:00,146.72+79.92j,146.72+79.92j
2017-10-18 09:20:00,145.11+82.13j,145.11+82.13j
2017-10-18 09:30:00,143.5+84.35j,143.5+84.35j
2017-10-18 09:40:00,141.82+86.57j,141.82+86.57j
2017-10-18 09:50:00,140.21+88.78j,140.21+88.78j
2017-10-18 10:00:00,138.6+91j,138.6+91j
2017-10-18 10:10:00,138.32+90.42j,138.32+90.42j
2017-10-18 10:20:00,138.11+89.83j,138.11+89.83j
2017-10-18 10:30:00,137.9+89.25j,137.9+89.25j
2017-10-18 10:40:00,137.62+88.67j,137.62+88.67j
2017-10-18 10:50:00,137.41+88.08j,137.41+88.08j
2017-10-18 11:00:00,137.2+87.5j,137.2+87.5j
2017-10-18 11:10:00,139.02+88.43j,139.02+88.43j
2017-10-18 11:20:00,140.91+89.37j,140.91+89.37j
2017-10-18 11:30:00,142.8+90.3j,142.8+90.3j
2017-10-18 11:40:00,144.62+91.24j,144.62+91.24j
2017-10-18 11:50:00,146.51+92.16j,146.51+92.16j
2017-10-18 12:00:00,148.4+93.1j,148.4+93.1j
2017-10-18 12:10:00,149.31+99.75j,149.31+99.75j
2017-10-18 12:20:00,150.22+106.4j,150.22+106.4j
2017-10-18 12:30:00,151.2+113.05j,151.2+113.05j
2017-10-18 12:40:00,152.11+119.7j,152.11+119.7j
2017-10-18 12:50:00,153.02+126.35j,153.02+126.35j
2017-10-18 13:00:00,154+133j,154+133j
2017-10-18 13:10:00,153.37+129.39j,153.37+129.39j
2017-10-18 13:20:00,152.81+125.76j,152.81+125.76j
2017-10-18 13:30:00,152.25+122.15j,152.25+122.15j
2017-10-18 13:40:00,151.62+118.54j,151.62+118.54j
2017-10-18 13:50:00,151.06+114.91j,151.06+114.91j
2017-10-18 14:00:00,150.5+111.3j,150.5+111.3j
2017-10-18 14:10:00,150.01+114.8j,150.01+114.8j
2017-10-18 14:20:00,149.52+118.3j,149.52+118.3j
2017-10-18 14:30:00,149.1+121.8j,149.1+121.8j
2017-10-18 14:40:00,148.61+125.3j,148.61+125.3j
2017-10-18 14:50:00,148.12+128.8j,148.12+128.8j
2017-10-18 15:00:00,147.7+132.3j,147.7+132.3j
2017-10-18 15:10:00,150.36+131.37j,150.36+131.37j
2017-10-18 15:20:00,153.02+130.43j,153.02+130.43j
2017-10-18 15:30:00,155.75+129.5j,155.75+129.5j
2017-10-18 15:40:00,158.41+128.57j,158.41+128.57j
2017-10-18 15:50:00,161.07+127.63j,161.07+127.63j
2017-10-18 16:00:00,163.8+126.7j,163.8+126.7j
2017-10-18 16:10:00,165.97+127.05j,165.97+127.05j
2017-10-18 16:20:00,168.21+127.4j,168.21+127.4j
2017-10-18 16:30:00,170.45+127.75j,170.45+127.75j
2017-10-18 16:40:00,172.62+128.1j,172.62+128.1j
2017-10-18 16:50:00,174.86+128.45j,174.86+128.45j
2017-10-18 17:00:00,177.1+128.8j,177.1+128.8j
2017-10-18 17:10:00,174.51+128.34j,174.51+128.34j
2017-10-18 17:20:00,171.92+127.86j,171.92+127.86j
2017-10-18 17:30:00,169.4+127.4j,169.4+127.4j
2017-10-18 17:40:00,166.81+126.94j,166.81+126.94j
2017-10-18 17:50:00,164.22+126.46j,164.22+126.46j
2017-10-18 18:00:00,161.7+126j,161.7+126j
2017-10-18 18:10:00,163.1+125.88j,163.1+125.88j
2017-10-18 18:20:00,164.5+125.77j,164.5+125.77j
2017-10-18 18:30:00,165.9+125.65j,165.9+125.65j
2017-10-18 18:40:00,167.3+125.53j,167.3+125.53j
2017-10-18 18:50:00,168.7+125.42j,168.7+125.42j
2017-10-18 19:00:00,170.1+125.3j,170.1+125.3j
2017-10-18 19:10:00,177.73+126.47j,177.73+126.47j
2017-10-18 19:20:00,185.5+127.63j,185.5+127.63j
2017-10-18 19:30:00,193.2+128.8j,193.2+128.8j
2017-10-18 19:40:00,200.83+129.97j,200.83+129.97j
2017-10-18 19:50:00,208.6+131.13j,208.6+131.13j
2017-10-18 20:00:00,216.3+132.3j,216.3+132.3j
2017-10-18 20:10:00,229.81+132.65j,229.81+132.65j
2017-10-18 20:20:00,243.32+133j,243.32+133j
2017-10-18 20:30:00,256.9+133.35j,256.9+133.35j
2017-10-18 20:40:00,270.41+133.7j,270.41+133.7j
